dates I C D F E HC HS HP HB IC IS IB
1 2020/03/18 0 0 0 0 0 0 0 0 0 0 0 0
2 2020/03/19 0 0 0 0 0 0 0 0 0 0 0 0
3 2020/03/20 0 0 0 0 0 0 0 0 0 0 0 0
4 2020/03/21 0 0 0 0 0 0 0 0 0 0 0 0
5 2020/03/22 0 0 0 0 0 0 0 0 0 0 0 0
6 2020/03/23 0 0 0 0 0 0 0 0 0 0 0 0
7 2020/03/24 0 0 0 0 0 0 0 0 0 0 0 0
8 2020/03/25 0 0 0 0 0 0 0 0 0 0 0 0
9 2020/03/26 0 0 0 0 0 0 0 0 0 0 0 0
10 2020/03/27 0 0 0 0 0 0 0 0 0 0 0 0
11 2020/03/28 1 1 0 0 0 0 0 0 0 0 0 0
12 2020/03/29 0 1 0 0 0 0 0 0 0 0 0 0
13 2020/03/30 0 1 0 0 0 0 1 0 0 0 1 5
14 2020/03/31 0 1 0 0 0 0 1 0 0 0 1 5
15 2020/04/01 0 1 0 0 0 0 1 0 0 0 1 5
16 2020/04/02 0 1 0 0 0 0 1 0 0 0 1 5
17 2020/04/03 0 1 0 0 0 1 0 0 0 1 0 5
18 2020/04/04 0 1 0 0 0 1 0 0 0 1 0 5
19 2020/04/05 0 1 0 0 0 1 0 0 0 1 0 5
20 2020/04/06 0 1 0 0 0 0 0 0 0 0 0 6
21 2020/04/07 1 2 0 0 0 0 0 0 0 0 0 6
22 2020/04/08 1 3 0 0 0 0 0 0 0 0 0 6
23 2020/04/09 0 3 0 0 0 0 0 0 0 0 1 5
24 2020/04/10 0 3 0 0 0 0 0 0 0 0 0 6
25 2020/04/11 0 3 0 0 0 0 0 0 0 0 0 6
26 2020/04/12 0 3 0 0 0 0 0 0 0 0 0 6
27 2020/04/13 0 3 0 0 0 0 0 0 0 0 0 6
28 2020/04/14 0 3 0 0 0 0 0 0 0 0 0 6
29 2020/04/15 0 3 0 0 0 0 0 0 0 0 0 6
30 2020/04/16 0 3 0 0 0 0 1 0 0 0 1 5
31 2020/04/17 0 3 0 0 0 0 1 0 0 0 1 5
32 2020/04/18 0 3 0 0 0 0 0 0 0 0 0 6
33 2020/04/19 0 3 0 0 0 1 0 0 0 0 0 6
34 2020/04/20 0 3 0 0 0 1 0 0 0 0 0 5
35 2020/04/21 0 3 0 0 0 1 0 1 80 1 0 4
36 2020/04/22 0 3 0 0 0 1 0 1 80 1 0 4
37 2020/04/23 0 3 0 0 0 1 0 1 80 1 0 4
38 2020/04/24 0 3 0 0 0 1 0 1 80 1 0 5
39 2020/04/25 0 3 0 0 0 1 1 2 80 1 1 4
40 2020/04/26 0 3 0 0 0 1 1 2 80 1 1 4
41 2020/04/27 0 3 0 0 0 1 1 2 80 1 1 4
42 2020/04/28 0 3 0 0 0 1 0 1 80 1 0 5
43 2020/04/29 0 3 0 0 0 1 0 1 80 1 0 5
44 2020/04/30 0 3 0 0 0 1 0 1 80 1 0 5
45 2020/05/01 0 3 0 0 0 1 0 1 80 1 0 5
46 2020/05/02 0 3 0 0 0 1 0 1 80 1 0 5
47 2020/05/03 0 3 0 0 0 1 0 1 80 1 0 5
48 2020/05/04 0 3 0 0 0 0 0 0 88 0 0 6
49 2020/05/05 0 3 0 0 0 0 0 0 88 0 0 6
50 2020/05/06 0 3 0 0 0 0 0 0 88 0 0 6
51 2020/05/07 0 3 0 0 0 1 0 1 88 0 0 6
52 2020/05/08 0 3 0 0 0 1 1 2 88 0 1 5
53 2020/05/09 0 3 0 0 0 0 0 0 88 0 0 6
54 2020/05/10 0 3 0 0 0 0 0 0 88 0 0 6
55 2020/05/11 0 3 0 0 0 0 0 0 88 0 0 6
56 2020/05/12 0 3 0 0 0 0 1 1 88 0 1 5
57 2020/05/13 0 3 0 0 0 0 1 1 88 0 1 5
58 2020/05/14 0 3 0 0 0 0 0 0 88 0 0 6
59 2020/05/15 0 3 0 0 0 0 0 0 88 0 0 6
60 2020/05/16 0 3 0 0 0 0 0 0 88 0 0 6
61 2020/05/17 0 3 0 0 0 0 0 0 88 0 0 6
62 2020/05/18 0 3 0 0 0 0 1 1 88 0 1 5
63 2020/05/19 0 3 0 0 0 0 1 1 88 0 1 5
64 2020/05/20 0 3 0 0 0 0 0 0 88 0 0 6
65 2020/05/21 1 4 0 0 0 0 0 0 88 0 0 6
66 2020/05/22 0 4 0 0 0 0 0 0 88 0 0 6
67 2020/05/23 0 4 0 0 0 0 0 0 88 0 0 6
68 2020/05/24 0 4 0 0 0 0 0 0 88 0 0 6
69 2020/05/25 0 4 0 0 0 0 0 0 88 0 0 6
70 2020/05/26 0 4 0 0 0 0 0 0 88 0 0 6
71 2020/05/27 1 5 0 0 0 0 0 0 88 0 0 6
72 2020/05/28 0 5 0 0 0 0 0 0 88 0 0 6
73 2020/05/29 0 5 0 0 0 0 0 0 88 0 0 6
74 2020/05/30 0 5 0 0 0 0 0 0 88 0 0 6
75 2020/05/31 0 5 0 0 0 0 1 1 88 0 0 6
76 2020/06/01 2 7 0 0 0 0 1 1 88 0 0 6
77 2020/06/02 0 7 0 0 0 0 1 1 88 0 1 5
78 2020/06/03 0 7 0 0 0 0 0 0 88 0 0 6
79 2020/06/04 0 7 0 0 0 0 0 0 88 0 0 6
80 2020/06/05 0 7 0 0 0 0 0 0 88 0 0 6
81 2020/06/06 0 7 0 0 0 0 0 0 88 0 2 4
82 2020/06/07 0 7 0 0 0 0 0 0 88 0 1 5
83 2020/06/08 0 7 0 0 0 0 1 1 88 0 1 5
84 2020/06/09 0 7 0 0 0 0 0 0 88 0 0 6
85 2020/06/10 0 7 0 0 0 0 0 0 88 0 0 6
86 2020/06/11 0 7 0 0 0 0 0 0 88 0 0 6
87 2020/06/12 0 7 0 0 0 0 0 0 88 0 0 6
88 2020/06/13 0 7 0 0 0 0 0 0 88 0 0 6
89 2020/06/14 0 7 0 0 0 0 0 0 88 0 0 6
90 2020/06/15 0 7 0 0 0 0 0 0 88 0 0 6
91 2020/06/16 0 7 0 0 0 0 1 1 88 0 0 6
92 2020/06/17 0 7 0 0 0 0 0 0 88 0 0 6
93 2020/06/18 0 7 0 0 0 0 0 0 88 0 0 6
94 2020/06/19 0 7 0 0 0 0 0 0 88 0 0 6
95 2020/06/20 0 7 0 0 0 0 0 0 88 0 0 6
96 2020/06/21 0 7 0 0 0 0 1 1 88 0 0 6
97 2020/06/22 0 7 0 0 0 0 1 1 88 0 0 6
98 2020/06/23 0 7 0 0 0 0 1 1 88 0 0 6
99 2020/06/24 4 11 0 0 0 1 0 1 88 0 0 6
100 2020/06/25 4 15 0 0 0 1 0 1 88 0 0 6
101 2020/06/26 4 19 0 0 0 1 0 1 88 0 0 6
102 2020/06/27 1 20 0 0 0 1 1 2 88 0 0 6
103 2020/06/28 4 24 0 0 0 0 0 0 88 0 0 6
104 2020/06/29 9 33 0 0 0 0 0 0 88 0 0 6
105 2020/06/30 13 46 0 0 0 1 2 3 88 0 0 6
106 2020/07/01 7 53 0 0 0 0 2 2 88 0 0 6
107 2020/07/02 7 60 0 0 0 0 2 2 88 0 0 6
108 2020/07/03 10 70 0 0 0 0 0 0 88 0 0 6
109 2020/07/04 6 76 0 0 0 0 0 0 88 0 0 6
110 2020/07/05 3 79 0 0 0 0 0 0 88 0 0 6
111 2020/07/06 1 80 0 0 0 0 0 0 88 0 0 6
112 2020/07/07 4 84 0 0 0 0 1 1 88 0 0 6
113 2020/07/08 6 90 0 0 0 0 1 1 88 0 0 6
114 2020/07/09 7 97 0 0 0 0 0 0 88 0 0 6
115 2020/07/10 6 103 0 0 0 0 0 0 88 0 0 6
116 2020/07/11 7 110 0 0 0 0 2 2 88 0 0 6
117 2020/07/12 6 116 0 0 0 0 4 4 88 0 0 6
118 2020/07/13 0 116 0 0 0 0 4 4 88 0 0 6
119 2020/07/14 12 128 0 0 0 1 2 3 88 0 0 6
120 2020/07/15 7 135 0 0 0 2 2 4 88 0 0 6
121 2020/07/16 5 140 0 0 0 1 1 2 88 0 0 6
122 2020/07/17 6 146 0 0 0 1 1 2 88 0 0 6
123 2020/07/18 36 182 0 0 0 1 1 2 88 0 0 6
124 2020/07/19 5 187 0 0 0 2 1 3 88 0 0 6
125 2020/07/20 30 217 0 0 0 2 2 4 88 0 0 6
126 2020/07/21 10 227 0 0 0 0 0 0 88 0 0 6
127 2020/07/22 9 236 0 0 0 1 0 1 48 0 0 0
128 2020/07/23 6 242 2 2 0 0 2 2 48 0 0 0
129 2020/07/24 13 255 2 0 0 1 2 3 48 0 0 0
130 2020/07/25 10 265 2 0 0 2 0 2 48 0 0 0
131 2020/07/26 5 270 2 0 0 2 0 2 48 0 0 0
132 2020/07/27 1 271 2 0 0 0 0 0 48 0 0 0
133 2020/07/28 19 290 2 0 0 0 0 0 48 0 0 0
134 2020/07/29 12 302 3 1 0 0 1 1 48 0 0 0
135 2020/07/30 13 315 4 1 0 0 3 3 48 0 0 0
136 2020/07/31 4 319 4 0 0 1 1 2 48 0 0 0
137 2020/08/01 8 327 4 0 0 1 2 3 48 0 0 0
138 2020/08/02 8 335 4 0 0 1 0 1 48 0 0 0
139 2020/08/03 1 336 4 0 0 1 0 1 48 0 0 0
140 2020/08/04 18 354 4 0 0 2 3 5 48 0 0 0
141 2020/08/05 0 354 4 0 0 1 4 5 48 0 0 0
142 2020/08/06 4 358 4 0 0 3 2 5 48 0 0 0
143 2020/08/07 0 358 4 0 0 5 2 7 48 0 0 0
144 2020/08/08 10 368 4 0 0 6 2 8 48 0 0 0
145 2020/08/09 3 371 4 0 0 6 1 7 48 0 0 0
146 2020/08/10 16 387 4 0 0 5 2 7 48 0 0 0
147 2020/08/11 3 390 5 1 0 5 2 7 48 0 0 0
148 2020/08/12 4 394 5 0 0 5 2 7 48 0 0 0
149 2020/08/13 1 395 5 0 0 5 0 5 48 0 0 0
150 2020/08/14 4 399 5 0 0 5 1 6 48 0 0 0
151 2020/08/15 2 401 5 0 0 2 0 2 48 0 0 0
152 2020/08/16 6 407 5 0 0 2 1 3 48 0 0 0
153 2020/08/17 1 408 5 0 0 2 0 2 48 0 0 0
154 2020/08/18 7 415 5 0 0 2 1 3 48 0 0 0
155 2020/08/19 0 415 5 0 0 2 2 4 48 0 0 0
156 2020/08/20 0 415 5 0 0 3 2 5 48 0 0 0
157 2020/08/21 3 418 5 0 0 1 3 4 48 0 0 0
158 2020/08/22 1 419 5 0 0 2 0 2 48 0 0 0
159 2020/08/23 5 424 5 0 0 1 0 1 48 0 0 0
160 2020/08/24 1 425 5 0 0 1 0 1 48 0 0 0
161 2020/08/25 5 430 5 0 0 1 3 4 48 0 0 0
162 2020/08/26 3 433 6 1 0 1 2 3 48 0 0 0
163 2020/08/27 5 438 6 0 0 10 0 10 48 0 0 0
164 2020/08/28 3 441 6 0 0 11 1 12 48 0 0 0
165 2020/08/29 0 440 6 0 1 10 1 11 48 0 0 0
166 2020/08/30 0 440 6 0 0 10 1 11 48 0 0 0
167 2020/08/31 3 443 6 0 0 10 1 11 48 0 0 0
168 2020/09/01 11 454 6 0 0 6 1 7 48 0 0 0
169 2020/09/02 6 460 6 0 0 1 0 1 48 0 0 0
170 2020/09/03 4 464 6 0 0 1 0 1 48 0 0 0
171 2020/09/04 3 467 6 0 0 1 1 2 48 0 0 0
172 2020/09/05 5 472 6 0 0 1 0 1 48 0 0 0
173 2020/09/06 3 475 6 0 0 0 1 1 48 0 0 0
174 2020/09/07 0 475 6 0 0 0 0 0 48 0 0 0
175 2020/09/08 0 475 6 0 0 0 2 2 48 0 0 0
176 2020/09/09 4 479 6 0 0 0 4 4 48 0 0 0
177 2020/09/10 3 482 6 0 0 0 2 2 48 0 0 0
178 2020/09/11 2 484 6 0 0 0 3 3 48 0 0 0
179 2020/09/12 2 486 6 0 0 0 3 3 48 0 0 0
180 2020/09/13 0 486 6 0 0 0 3 3 48 0 0 0
181 2020/09/14 0 486 6 0 0 0 3 3 48 0 0 0
182 2020/09/15 11 497 6 0 0 3 0 3 48 0 0 0
183 2020/09/16 0 497 6 0 0 2 1 3 48 0 0 0
184 2020/09/17 2 499 6 0 0 2 2 4 48 0 0 0
185 2020/09/18 5 504 6 0 0 2 1 3 48 0 0 0
186 2020/09/19 3 507 6 0 0 2 3 5 48 0 0 0
187 2020/09/20 3 510 6 0 0 3 3 6 48 0 0 0
