dates I C D F E
1 2020/03/18 2 2 19 19 1
2 2020/03/19 4 6 42 23 1
3 2020/03/20 2 8 67 25 1
4 2020/03/21 0 8 92 25 1
5 2020/03/22 2 10 119 27 1
6 2020/03/23 3 13 149 30 1
7 2020/03/24 2 15 181 32 1
8 2020/03/25 1 16 214 33 1
9 2020/03/26 3 19 250 36 1
10 2020/03/27 5 24 291 41 1
11 2020/03/28 4 28 336 45 1
12 2020/03/29 0 28 381 45 2
13 2020/03/30 3 31 429 48 1
14 2020/03/31 2 33 479 50 1
15 2020/04/01 0 33 529 50 1
16 2020/04/02 0 33 579 50 1
17 2020/04/03 4 37 633 54 1
18 2020/04/04 0 37 687 54 2
19 2020/04/05 0 37 741 54 1
20 2020/04/06 0 37 795 54 1
21 2020/04/07 1 38 850 55 1
22 2020/04/08 1 39 906 56 1
23 2020/04/09 0 39 962 56 2
24 2020/04/10 0 39 1018 56 1
25 2020/04/11 0 39 1074 56 1
26 2020/04/12 0 39 1130 56 1
27 2020/04/13 0 39 1186 56 1
28 2020/04/14 0 39 1242 56 1
29 2020/04/15 0 39 1298 56 1
30 2020/04/16 0 39 1354 56 1
31 2020/04/17 0 39 1410 56 1
32 2020/04/18 1 40 1467 57 1
33 2020/04/19 0 40 1524 57 1
34 2020/04/20 0 40 1581 57 1
35 2020/04/21 0 40 1638 57 1
36 2020/04/22 1 41 1696 58 1
37 2020/04/23 0 41 1754 58 1
38 2020/04/24 0 41 1812 58 1
39 2020/04/25 0 41 1870 58 1
40 2020/04/26 0 41 1928 58 1
41 2020/04/27 0 41 1986 58 2
42 2020/04/28 0 41 2044 58 1
43 2020/04/29 1 42 2103 59 1
44 2020/04/30 0 42 2162 59 1
45 2020/05/01 0 42 2221 59 1
46 2020/05/02 0 42 2280 59 1
47 2020/05/03 0 42 2339 59 1
48 2020/05/04 1 43 2399 60 1
49 2020/05/05 2 45 2461 62 0
50 2020/05/06 3 48 2526 65 0
51 2020/05/07 1 49 2592 66 0
52 2020/05/08 1 50 2659 67 0
53 2020/05/09 3 53 2729 70 0
54 2020/05/10 2 55 2801 72 0
55 2020/05/11 4 59 2877 76 0
56 2020/05/12 3 62 2956 79 0
57 2020/05/13 3 65 3038 82 0
58 2020/05/14 6 71 3126 88 0
59 2020/05/15 2 73 3216 90 0
60 2020/05/16 1 74 3307 91 0
61 2020/05/17 2 76 3400 93 0
62 2020/05/18 7 83 3500 100 0
63 2020/05/19 0 83 3600 100 0
64 2020/05/20 0 83 3700 100 0
65 2020/05/21 3 86 3803 103 0
66 2020/05/22 1 87 3907 104 0
67 2020/05/23 0 87 4011 104 0
68 2020/05/24 2 89 4117 106 0
69 2020/05/25 0 89 4223 106 0
70 2020/05/26 1 90 4330 107 0
71 2020/05/27 2 92 4439 109 0
72 2020/05/28 0 92 4548 109 0
73 2020/05/29 1 93 4658 110 0
74 2020/05/30 1 94 4769 111 0
75 2020/05/31 1 95 4881 112 0
76 2020/06/01 3 98 4996 115 0
77 2020/06/02 0 98 5111 115 0
78 2020/06/03 0 98 5226 115 0
79 2020/06/04 0 98 5341 115 0
80 2020/06/05 0 98 5456 115 0
81 2020/06/06 1 99 5572 116 0
82 2020/06/07 0 99 5688 116 0
83 2020/06/08 0 99 5804 116 0
84 2020/06/09 0 99 5920 116 0
85 2020/06/10 2 101 6038 118 1
86 2020/06/11 4 105 6160 122 0
87 2020/06/12 4 109 6286 126 1
88 2020/06/13 2 111 6414 128 1
89 2020/06/14 1 112 6543 129 0
90 2020/06/15 4 116 6676 133 0
91 2020/06/16 2 118 6811 135 0
92 2020/06/17 3 121 6949 138 0
93 2020/06/18 2 123 7089 140 0
94 2020/06/19 1 124 7230 141 0
95 2020/06/20 2 126 7373 143 0
96 2020/06/21 0 126 7516 143 0
97 2020/06/22 5 131 7664 148 0
98 2020/06/23 3 134 7815 151 0
99 2020/06/24 0 134 7966 151 0
100 2020/06/25 0 134 8117 151 0
101 2020/06/26 1 135 8269 152 0
102 2020/06/27 2 137 8423 154 0
103 2020/06/28 3 140 8580 157 0
104 2020/06/29 3 143 8740 160 0
105 2020/06/30 1 144 8901 161 0
106 2020/07/01 4 148 9066 165 0
107 2020/07/02 5 153 9236 170 0
108 2020/07/03 5 158 9411 175 0
109 2020/07/04 4 162 9590 179 0
110 2020/07/05 7 169 9776 186 0
111 2020/07/06 4 173 9966 190 0
112 2020/07/07 2 175 10158 192 0
113 2020/07/08 3 178 10353 195 0
114 2020/07/09 3 181 10551 198 0
115 2020/07/10 3 184 10752 201 0
116 2020/07/11 1 185 10954 202 0
117 2020/07/12 1 186 11157 203 0
118 2020/07/13 4 190 11364 207 0
119 2020/07/14 5 195 11576 212 0
120 2020/07/15 3 198 11791 215 0
121 2020/07/16 2 200 12008 217 0
122 2020/07/17 2 202 12227 219 0
123 2020/07/18 1 203 12447 220 0
124 2020/07/19 3 206 12670 223 0
125 2020/07/20 6 212 12899 229 1
126 2020/07/21 7 219 13135 236 0
127 2020/07/22 2 221 13373 238 0
128 2020/07/23 3 224 13614 241 0
129 2020/07/24 1 225 13856 242 0
130 2020/07/25 3 228 14101 245 0
131 2020/07/26 3 231 14349 248 0
132 2020/07/27 6 237 14603 254 0
133 2020/07/28 5 242 14862 259 0
134 2020/07/29 1 243 15122 260 0
135 2020/07/30 3 246 15385 263 0
136 2020/07/31 2 248 15650 265 0
137 2020/08/01 7 255 15922 272 0
138 2020/08/02 1 256 16195 273 0
139 2020/08/03 5 261 16473 278 0
140 2020/08/04 7 268 16758 285 0
141 2020/08/05 10 278 17053 295 0
142 2020/08/06 2 280 17350 297 0
143 2020/08/07 5 285 17652 302 0
144 2020/08/08 4 289 17958 306 0
145 2020/08/09 3 292 18267 309 0
146 2020/08/10 6 298 18582 315 1
147 2020/08/11 6 304 18903 321 0
148 2020/08/12 5 309 19229 326 1
149 2020/08/13 7 316 19562 333 0
150 2020/08/14 8 324 19903 341 0
151 2020/08/15 6 330 20250 347 0
152 2020/08/16 1 331 20598 348 0
153 2020/08/17 2 333 20948 350 0
154 2020/08/18 4 337 21302 354 0
155 2020/08/19 2 339 21658 356 0
156 2020/08/20 3 342 22017 359 0
157 2020/08/21 5 347 22381 364 0
158 2020/08/22 3 350 22748 367 0
159 2020/08/23 10 360 23125 377 0
160 2020/08/24 2 362 23504 379 1
161 2020/08/25 4 366 23887 383 0
162 2020/08/26 5 371 24275 388 0
163 2020/08/27 12 383 24675 400 0
164 2020/08/28 8 391 25083 408 0
165 2020/08/29 4 395 25495 412 0
166 2020/08/30 3 398 25910 415 1
167 2020/08/31 11 409 26336 426 0
168 2020/09/01 2 411 26764 428 0
169 2020/09/02 6 417 27198 434 0
170 2020/09/03 3 420 27635 437 0
171 2020/09/04 5 425 28077 442 0
172 2020/09/05 5 430 28524 447 0
173 2020/09/06 2 432 28973 449 0
174 2020/09/07 3 435 29425 452 0
175 2020/09/08 9 444 29886 461 0
176 2020/09/09 2 446 30349 463 0
177 2020/09/10 2 448 30814 465 0
178 2020/09/11 11 459 31290 476 0
179 2020/09/12 2 461 31768 478 0
180 2020/09/13 1 462 32247 479 0
181 2020/09/14 0 462 32726 479 0
182 2020/09/15 3 465 33208 482 0
183 2020/09/16 2 467 33692 484 1
184 2020/09/17 1 468 34177 485 0
185 2020/09/18 6 474 34668 491 0
186 2020/09/19 3 477 35162 494 0
187 2020/09/20 1 478 35657 495 0
188 2020/09/21 0 478 36152 495 0
189 2020/09/22 4 482 36651 499 0
190 2020/09/23 1 483 37151 500 0
191 2020/09/24 5 488 37656 505 0
192 2020/09/25 3 491 38164 508 0
193 2020/09/26 1 492 38673 509 0
194 2020/09/27 0 492 39182 509 0
195 2020/09/28 2 494 39693 511 0
196 2020/09/29 6 500 40210 517 0
197 2020/09/30 2 502 40729 519 0
198 2020/10/01 2 504 41250 521 0
199 2020/10/02 0 504 41771 521 0
200 2020/10/03 1 505 42293 522 0
201 2020/10/04 1 506 42816 523 0
202 2020/10/05 1 507 43340 524 0
203 2020/10/06 1 508 43865 525 0
204 2020/10/07 3 511 44393 528 0
205 2020/10/08 3 514 44924 531 0
206 2020/10/09 4 518 45459 535 0
207 2020/10/10 2 520 45996 537 0
208 2020/10/11 3 523 46536 540 0
209 2020/10/12 1 524 47077 541 0
210 2020/10/13 3 527 47621 544 0
211 2020/10/14 2 529 48167 546 0
212 2020/10/15 3 532 48716 549 0
213 2020/10/16 4 536 49269 553 0
214 2020/10/17 0 536 49822 553 0
215 2020/10/18 3 539 50378 556 0
216 2020/10/19 3 542 50937 559 0
217 2020/10/20 0 542 51496 559 0
218 2020/10/21 4 546 52059 563 0
219 2020/10/22 1 547 52623 564 0
220 2020/10/23 1 548 53188 565 0
221 2020/10/24 2 550 53755 567 0
222 2020/10/25 2 552 54324 569 0
223 2020/10/26 4 556 54897 573 0
224 2020/10/27 8 564 55478 581 0
225 2020/10/28 3 567 56062 584 0
226 2020/10/29 4 571 56650 588 0
227 2020/10/30 5 576 57243 593 0
228 2020/10/31 1 577 57837 594 0
229 2020/11/01 3 580 58434 597 0
230 2020/11/02 8 588 59039 605 0
231 2020/11/03 9 597 59653 614 0
232 2020/11/04 7 604 60274 621 0
233 2020/11/05 8 612 60903 629 0
234 2020/11/06 11 623 61543 640 0
235 2020/11/07 3 626 62186 643 0
236 2020/11/08 11 637 62840 654 0
237 2020/11/09 16 653 63510 670 0
238 2020/11/10 13 666 64193 683 0
239 2020/11/11 17 683 64893 700 0
240 2020/11/12 14 697 65607 714 0
241 2020/11/13 13 710 66334 727 0
242 2020/11/14 15 725 67076 742 0
243 2020/11/15 16 741 67834 758 0
244 2020/11/16 27 768 68619 785 0
245 2020/11/17 18 786 69422 803 0
246 2020/11/18 23 809 70248 826 0
247 2020/11/19 14 823 71088 840 0
248 2020/11/20 20 843 71948 860 0
249 2020/11/21 10 853 72818 870 0
250 2020/11/22 10 863 73698 880 0
251 2020/11/23 17 880 74595 897 0
252 2020/11/24 13 893 75505 910 0
253 2020/11/25 18 911 76433 928 0
254 2020/11/26 7 918 77368 935 0
