dates I C D F E
1 2020/03/18 2 10 0 0 1
2 2020/03/19 2 12 0 0 1
3 2020/03/20 3 15 0 0 1
4 2020/03/21 0 15 0 0 1
5 2020/03/22 0 15 0 0 1
6 2020/03/23 2 17 0 0 1
7 2020/03/24 0 17 0 0 1
8 2020/03/25 1 18 0 0 1
9 2020/03/26 1 19 0 0 1
10 2020/03/27 0 19 0 0 1
11 2020/03/28 1 20 0 0 1
12 2020/03/29 1 21 0 0 2
13 2020/03/30 3 24 0 0 1
14 2020/03/31 0 24 0 0 1
15 2020/04/01 2 26 0 0 1
16 2020/04/02 2 28 0 0 1
17 2020/04/03 0 28 0 0 1
18 2020/04/04 2 30 0 0 1
19 2020/04/05 0 30 0 0 1
20 2020/04/06 1 31 0 0 2
21 2020/04/07 0 31 0 0 1
22 2020/04/08 2 33 0 0 1
23 2020/04/09 0 33 0 0 1
24 2020/04/10 2 35 0 0 1
25 2020/04/11 3 38 1 1 1
26 2020/04/12 3 41 1 0 1
27 2020/04/13 2 43 1 0 1
28 2020/04/14 4 47 1 0 1
29 2020/04/15 1 48 1 0 1
30 2020/04/16 4 52 1 0 1
31 2020/04/17 4 56 1 0 1
32 2020/04/18 2 58 1 0 1
33 2020/04/19 1 59 1 0 1
34 2020/04/20 10 69 1 0 1
35 2020/04/21 11 80 1 0 1
36 2020/04/22 13 93 1 0 1
37 2020/04/23 21 114 1 0 1
38 2020/04/24 15 129 1 0 1
39 2020/04/25 29 158 1 0 1
40 2020/04/26 12 170 1 0 1
41 2020/04/27 25 195 1 0 1
42 2020/04/28 23 218 1 0 1
43 2020/04/29 13 231 1 0 1
44 2020/04/30 19 250 1 0 1
45 2020/05/01 12 262 1 0 1
46 2020/05/02 17 279 1 0 1
47 2020/05/03 3 282 1 0 1
48 2020/05/04 20 302 1 0 1
49 2020/05/05 17 319 1 0 0
50 2020/05/06 16 335 1 0 0
51 2020/05/07 18 353 1 0 0
52 2020/05/08 22 375 1 0 0
53 2020/05/09 9 384 1 0 0
54 2020/05/10 5 389 1 0 0
55 2020/05/11 13 402 1 0 0
56 2020/05/12 23 425 1 0 0
57 2020/05/13 21 446 1 0 0
58 2020/05/14 13 459 2 1 0
59 2020/05/15 16 475 2 0 0
60 2020/05/16 3 478 2 0 0
61 2020/05/17 9 487 2 0 0
62 2020/05/18 47 534 2 0 0
63 2020/05/19 31 565 2 0 0
64 2020/05/20 10 575 2 0 0
65 2020/05/21 143 718 2 0 0
66 2020/05/22 21 739 2 0 0
67 2020/05/23 3 742 2 0 0
68 2020/05/24 4 746 2 0 0
69 2020/05/25 11 757 2 0 0
70 2020/05/26 29 786 3 1 0
71 2020/05/27 68 854 3 0 0
72 2020/05/28 27 881 3 0 0
73 2020/05/29 337 1218 3 0 0
74 2020/05/30 11 1229 4 1 0
75 2020/05/31 14 1243 5 1 0
76 2020/06/01 37 1280 6 1 0
77 2020/06/02 268 1548 6 0 0
78 2020/06/03 28 1576 6 0 0
79 2020/06/04 65 1641 6 0 0
80 2020/06/05 70 1711 6 0 0
81 2020/06/06 15 1726 6 0 0
82 2020/06/07 19 1745 6 0 0
83 2020/06/08 49 1794 6 0 0
84 2020/06/09 76 1870 6 0 0
85 2020/06/10 32 1902 6 0 0
86 2020/06/11 47 1949 6 0 0
87 2020/06/12 34 1983 6 0 0
88 2020/06/13 13 1996 6 0 0
89 2020/06/14 20 2016 8 2 1
90 2020/06/15 51 2067 9 1 0
91 2020/06/16 77 2144 9 0 0
92 2020/06/17 46 2190 11 2 0
93 2020/06/18 30 2220 12 1 0
94 2020/06/19 59 2279 13 1 0
95 2020/06/20 21 2300 18 5 0
96 2020/06/21 24 2324 19 1 0
97 2020/06/22 63 2387 20 1 0
98 2020/06/23 48 2435 21 1 0
99 2020/06/24 65 2500 21 0 0
100 2020/06/25 62 2562 22 1 0
101 2020/06/26 52 2614 24 2 0
102 2020/06/27 32 2646 27 3 0
103 2020/06/28 26 2672 29 2 0
104 2020/06/29 59 2731 32 3 0
105 2020/06/30 64 2795 33 1 0
106 2020/07/01 49 2844 33 0 0
107 2020/07/02 68 2912 35 2 0
108 2020/07/03 50 2962 37 2 0
109 2020/07/04 36 2998 38 1 0
110 2020/07/05 43 3041 38 0 0
111 2020/07/06 83 3124 38 0 0
112 2020/07/07 49 3173 39 1 0
113 2020/07/08 61 3234 39 0 0
