dates I C D F E HC HS HP HB IC IS IB
1 2020/03/18 0 0 0 0 0 0 0 0 0 0 0 0
2 2020/03/19 0 0 0 0 0 0 0 0 0 0 0 0
3 2020/03/20 0 0 0 0 0 0 0 0 0 0 0 0
4 2020/03/21 0 0 0 0 0 0 0 0 0 0 0 0
5 2020/03/22 0 0 0 0 0 0 0 0 0 0 0 0
6 2020/03/23 0 0 0 0 0 0 0 0 0 0 0 0
7 2020/03/24 0 0 0 0 0 0 0 0 0 0 0 0
8 2020/03/25 0 0 0 0 0 0 0 0 0 0 0 0
9 2020/03/26 0 0 0 0 0 0 0 0 0 0 0 0
10 2020/03/27 0 0 0 0 0 0 0 0 0 0 0 0
11 2020/03/28 0 0 0 0 0 0 0 0 0 0 0 0
12 2020/03/29 0 0 0 0 2 0 1 0 0 0 1 2
13 2020/03/30 0 0 0 0 1 0 1 0 0 0 1 3
14 2020/03/31 0 0 0 0 0 0 4 0 0 0 2 3
15 2020/04/01 0 0 0 0 0 0 2 0 0 0 0 2
16 2020/04/02 0 0 0 0 0 0 1 0 0 0 0 2
17 2020/04/03 0 0 0 0 0 0 2 0 0 0 1 2
18 2020/04/04 0 0 0 0 0 0 4 0 0 0 1 4
19 2020/04/05 0 0 0 0 0 0 4 0 0 0 2 3
20 2020/04/06 1 1 0 0 0 0 8 0 0 0 2 1
21 2020/04/07 0 1 0 0 0 0 0 0 0 0 0 1
22 2020/04/08 0 1 0 0 0 0 0 0 0 0 1 1
23 2020/04/09 0 1 0 0 0 0 0 0 0 0 1 2
24 2020/04/10 2 3 0 0 0 0 1 0 0 0 0 2
25 2020/04/11 0 3 0 0 0 0 0 0 0 0 0 0
26 2020/04/12 0 3 0 0 0 0 0 0 0 0 0 0
27 2020/04/13 0 3 0 0 0 0 2 0 0 0 1 3
28 2020/04/14 0 3 0 0 0 0 3 0 0 0 0 3
29 2020/04/15 1 4 0 0 0 3 3 0 0 0 2 1
30 2020/04/16 2 6 0 0 0 1 0 0 0 0 0 1
31 2020/04/17 0 6 0 0 0 0 6 0 0 0 1 3
32 2020/04/18 0 6 0 0 0 0 0 0 0 0 0 6
33 2020/04/19 0 6 0 0 0 0 2 0 0 0 0 5
34 2020/04/20 0 6 0 0 0 0 2 0 0 0 1 0
35 2020/04/21 0 6 0 0 0 0 2 2 58 0 0 6
36 2020/04/22 0 6 0 0 0 0 3 3 58 0 1 4
37 2020/04/23 0 6 0 0 0 0 1 1 58 0 0 4
38 2020/04/24 0 6 0 0 0 0 1 1 58 0 1 4
39 2020/04/25 0 6 0 0 0 0 2 2 58 0 0 3
40 2020/04/26 0 6 0 0 0 0 1 1 58 0 0 5
41 2020/04/27 0 6 0 0 0 0 1 1 58 0 1 5
42 2020/04/28 0 6 0 0 0 0 2 2 58 0 1 3
43 2020/04/29 0 6 0 0 0 0 2 2 58 0 1 1
44 2020/04/30 0 6 0 0 0 0 2 2 58 0 0 2
45 2020/05/01 0 6 0 0 0 0 2 2 58 0 1 2
46 2020/05/02 1 7 0 0 0 0 0 0 58 0 0 2
47 2020/05/03 0 7 0 0 0 0 3 3 58 0 1 2
48 2020/05/04 0 7 0 0 0 0 4 4 58 0 0 4
49 2020/05/05 0 7 0 0 1 0 2 2 110 0 1 0
50 2020/05/06 0 7 0 0 0 0 3 3 110 0 1 4
51 2020/05/07 0 7 0 0 0 0 0 0 110 0 0 3
52 2020/05/08 0 7 0 0 0 0 1 1 110 0 0 2
53 2020/05/09 0 7 0 0 0 0 0 0 110 0 0 3
54 2020/05/10 0 7 0 0 0 0 1 1 110 0 0 0
55 2020/05/11 0 7 0 0 0 0 0 0 110 0 0 5
56 2020/05/12 0 7 0 0 0 0 1 1 110 0 1 1
57 2020/05/13 0 7 0 0 0 0 0 0 110 0 1 2
58 2020/05/14 0 7 0 0 0 0 0 0 110 0 0 2
59 2020/05/15 0 7 0 0 0 0 0 0 110 0 0 2
60 2020/05/16 0 7 0 0 0 0 0 0 110 0 0 2
61 2020/05/17 0 7 0 0 0 0 0 0 110 0 0 1
62 2020/05/18 2 9 0 0 0 0 2 2 110 0 0 3
63 2020/05/19 2 11 0 0 0 0 1 1 110 0 1 1
64 2020/05/20 0 9 0 0 1 0 2 2 110 0 0 3
65 2020/05/21 1 10 0 0 0 0 0 0 110 0 0 3
66 2020/05/22 0 10 0 0 0 0 2 2 110 0 0 3
67 2020/05/23 0 10 0 0 0 0 1 1 110 0 1 2
68 2020/05/24 2 12 0 0 0 0 4 4 110 0 2 0
69 2020/05/25 1 13 0 0 0 0 1 1 110 0 0 2
70 2020/05/26 0 12 0 0 1 0 1 1 110 0 0 0
71 2020/05/27 1 13 0 0 0 0 0 0 110 0 0 0
72 2020/05/28 4 17 0 0 0 0 1 1 110 0 0 0
73 2020/05/29 0 17 0 0 0 0 1 1 110 0 0 0
74 2020/05/30 1 18 0 0 0 0 0 0 110 0 0 0
75 2020/05/31 1 19 0 0 0 1 0 1 110 0 0 0
76 2020/06/01 3 22 0 0 0 1 1 2 110 0 1 2
77 2020/06/02 3 25 0 0 0 1 1 2 110 0 0 0
78 2020/06/03 1 26 0 0 0 1 0 1 110 0 0 2
79 2020/06/04 1 27 0 0 0 2 2 4 110 0 1 1
80 2020/06/05 1 28 0 0 0 1 0 1 110 0 0 2
81 2020/06/06 0 28 0 0 0 1 1 2 110 0 0 3
82 2020/06/07 0 28 0 0 0 0 0 0 110 0 0 4
83 2020/06/08 0 28 0 0 0 0 0 0 110 0 0 4
84 2020/06/09 0 28 0 0 0 0 1 1 110 0 1 1
85 2020/06/10 0 28 0 0 0 0 2 2 110 0 0 1
86 2020/06/11 0 28 0 0 0 0 0 0 110 0 0 2
87 2020/06/12 1 29 0 0 0 0 2 2 110 0 2 0
88 2020/06/13 0 29 0 0 0 0 1 1 110 0 1 0
89 2020/06/14 2 31 0 0 0 0 1 1 110 0 1 0
90 2020/06/15 0 31 0 0 0 0 0 0 110 0 0 0
91 2020/06/16 0 31 0 0 0 0 2 2 110 0 1 0
92 2020/06/17 1 32 0 0 0 0 1 1 110 0 0 0
93 2020/06/18 4 36 0 0 0 0 2 2 110 0 0 1
94 2020/06/19 0 36 0 0 0 0 0 0 110 0 0 1
95 2020/06/20 1 37 0 0 0 0 0 0 110 0 0 1
96 2020/06/21 0 36 0 0 1 0 1 1 110 0 0 2
97 2020/06/22 1 37 0 0 0 0 0 0 110 0 0 2
98 2020/06/23 3 40 0 0 0 0 1 1 110 0 1 0
99 2020/06/24 0 40 0 0 0 0 1 1 110 0 0 0
100 2020/06/25 3 43 0 0 0 0 2 2 110 0 2 1
101 2020/06/26 0 43 0 0 0 0 1 1 110 0 1 1
102 2020/06/27 0 43 0 0 0 0 3 3 110 0 2 0
103 2020/06/28 13 56 0 0 0 2 0 2 110 2 0 1
104 2020/06/29 6 62 0 0 0 2 0 2 110 2 0 1
105 2020/06/30 6 68 0 0 0 3 2 5 110 1 2 1
106 2020/07/01 8 76 0 0 0 3 0 3 110 1 0 1
107 2020/07/02 5 81 0 0 0 3 1 4 110 1 0 1
108 2020/07/03 2 83 0 0 0 3 0 3 110 1 0 2
109 2020/07/04 3 86 0 0 0 3 1 4 110 0 1 2
110 2020/07/05 6 92 0 0 0 3 1 4 110 0 0 2
111 2020/07/06 1 93 0 0 0 3 3 6 110 0 1 2
112 2020/07/07 1 94 0 0 0 1 0 1 110 0 0 2
113 2020/07/08 3 97 1 1 0 1 2 3 110 0 1 0
114 2020/07/09 2 99 1 0 0 1 1 2 110 0 1 0
115 2020/07/10 5 104 1 0 0 2 1 3 110 0 1 1
116 2020/07/11 6 110 1 0 0 3 1 4 110 0 1 1
117 2020/07/12 4 114 1 0 0 3 1 4 110 0 1 0
118 2020/07/13 4 118 1 0 0 4 2 6 110 1 1 1
119 2020/07/14 2 120 1 0 0 2 0 2 110 0 0 2
120 2020/07/15 2 122 1 0 0 1 0 1 110 1 0 2
121 2020/07/16 6 128 1 0 0 2 2 4 110 1 2 2
122 2020/07/17 11 139 1 0 0 2 2 4 110 0 2 2
123 2020/07/18 3 142 1 0 0 1 2 3 110 0 2 2
124 2020/07/19 2 144 1 0 0 1 1 2 110 0 0 3
125 2020/07/20 3 147 1 0 0 0 0 0 110 0 0 3
126 2020/07/21 10 157 1 0 0 0 0 0 110 0 0 1
127 2020/07/22 3 160 1 0 0 0 2 2 98 0 1 2
128 2020/07/23 0 160 1 0 0 0 2 2 98 0 0 3
129 2020/07/24 7 167 1 0 0 0 1 1 65 0 1 2
130 2020/07/25 6 173 1 0 0 0 1 1 65 0 1 4
131 2020/07/26 1 174 1 0 0 0 0 0 65 0 0 4
132 2020/07/27 2 176 1 0 0 1 1 2 65 0 0 4
133 2020/07/28 3 179 1 0 0 0 1 1 65 0 0 3
134 2020/07/29 0 179 1 0 0 0 0 0 66 0 0 3
135 2020/07/30 2 181 1 0 0 0 0 0 66 0 0 2
136 2020/07/31 10 191 1 0 0 0 2 2 66 0 1 2
137 2020/08/01 3 194 1 0 0 1 0 1 66 0 0 2
138 2020/08/02 7 201 1 0 0 2 0 2 65 0 0 3
139 2020/08/03 0 201 1 0 0 0 0 0 65 0 0 8
140 2020/08/04 5 206 1 0 0 0 1 1 65 0 0 4
141 2020/08/05 3 209 2 1 0 1 1 2 65 0 1 2
142 2020/08/06 0 209 2 0 0 1 1 2 65 0 1 1
143 2020/08/07 6 215 2 0 0 4 0 4 65 4 0 2
144 2020/08/08 6 221 2 0 0 0 1 1 66 0 1 3
145 2020/08/09 4 225 2 0 0 0 2 2 65 0 1 2
146 2020/08/10 14 239 2 0 0 0 2 2 65 0 0 6
147 2020/08/11 4 243 2 0 0 0 2 2 65 0 0 6
148 2020/08/12 10 253 2 0 0 0 1 1 65 0 0 2
149 2020/08/13 10 263 2 0 0 0 0 0 65 0 0 3
150 2020/08/14 4 267 2 0 0 0 0 0 65 0 0 4
151 2020/08/15 1 268 2 0 0 0 1 1 66 0 0 4
152 2020/08/16 1 269 2 0 0 0 1 1 65 0 1 2
153 2020/08/17 1 270 2 0 0 0 1 1 65 0 0 1
154 2020/08/18 4 274 2 0 0 0 2 2 65 0 0 5
155 2020/08/19 3 277 2 0 0 1 0 1 65 1 0 5
156 2020/08/20 3 280 3 1 0 0 0 0 65 0 0 4
157 2020/08/21 1 281 3 0 0 0 2 2 65 0 0 2
158 2020/08/22 10 291 3 0 0 0 0 0 65 0 0 3
159 2020/08/23 8 299 3 0 0 0 1 1 66 0 0 5
160 2020/08/24 3 302 3 0 0 0 0 0 66 0 0 6
161 2020/08/25 2 304 3 0 0 1 1 2 65 0 0 5
162 2020/08/26 4 308 3 0 0 1 1 2 65 0 1 4
163 2020/08/27 6 314 3 0 0 1 1 2 65 0 0 2
164 2020/08/28 6 320 3 0 0 1 2 3 65 0 1 2
165 2020/08/29 9 329 4 1 0 1 0 1 65 0 0 4
166 2020/08/30 5 334 4 0 0 0 0 0 65 0 0 4
167 2020/08/31 7 341 4 0 0 0 0 0 65 0 0 6
168 2020/09/01 0 341 5 1 0 0 1 1 65 0 1 4
169 2020/09/02 1 342 5 0 0 0 0 0 65 0 0 4
170 2020/09/03 5 347 5 0 0 0 0 0 65 0 0 3
