dates I C D F E
1 2020/03/18 7 7 64 64 2
2 2020/03/19 4 11 132 68 2
3 2020/03/20 3 14 203 71 2
4 2020/03/21 3 17 277 74 2
5 2020/03/22 5 22 356 79 2
6 2020/03/23 10 32 445 89 2
7 2020/03/24 5 37 539 94 2
8 2020/03/25 11 48 644 105 2
9 2020/03/26 6 54 755 111 2
10 2020/03/27 9 63 875 120 2
11 2020/03/28 5 68 1000 125 2
12 2020/03/29 5 73 1130 130 3
13 2020/03/30 5 78 1265 135 2
14 2020/03/31 7 85 1407 142 2
15 2020/04/01 9 94 1558 151 2
16 2020/04/02 4 98 1713 155 2
17 2020/04/03 6 104 1874 161 2
18 2020/04/04 2 106 2037 163 2
19 2020/04/05 2 108 2202 165 2
20 2020/04/06 0 108 2367 165 2
21 2020/04/07 3 111 2535 168 2
22 2020/04/08 2 113 2705 170 2
23 2020/04/09 6 119 2881 176 2
24 2020/04/10 2 121 3059 178 3
25 2020/04/11 5 126 3242 183 2
26 2020/04/12 2 128 3427 185 2
27 2020/04/13 11 139 3623 196 2
28 2020/04/14 4 143 3823 200 2
29 2020/04/15 4 147 4027 204 2
30 2020/04/16 3 150 4234 207 2
31 2020/04/17 4 154 4445 211 2
32 2020/04/18 3 157 4659 214 2
33 2020/04/19 2 159 4875 216 2
34 2020/04/20 1 160 5092 217 2
35 2020/04/21 4 164 5313 221 2
36 2020/04/22 6 170 5540 227 2
37 2020/04/23 2 172 5769 229 2
38 2020/04/24 13 185 6011 242 2
39 2020/04/25 0 185 6253 242 2
40 2020/04/26 0 185 6495 242 2
41 2020/04/27 6 191 6743 248 2
42 2020/04/28 5 196 6996 253 2
43 2020/04/29 1 197 7250 254 2
44 2020/04/30 3 200 7507 257 2
45 2020/05/01 0 200 7764 257 2
46 2020/05/02 0 200 8021 257 2
47 2020/05/03 2 202 8280 259 2
48 2020/05/04 5 207 8544 264 2
49 2020/05/05 4 211 8812 268 0
50 2020/05/06 6 217 9086 274 0
51 2020/05/07 7 224 9367 281 0
52 2020/05/08 7 231 9655 288 0
53 2020/05/09 0 231 9943 288 0
54 2020/05/10 1 232 10232 289 0
55 2020/05/11 8 240 10529 297 0
56 2020/05/12 9 249 10835 306 0
57 2020/05/13 5 254 11146 311 0
58 2020/05/14 13 267 11470 324 0
59 2020/05/15 18 285 11812 342 0
60 2020/05/16 8 293 12162 350 0
61 2020/05/17 4 297 12516 354 0
62 2020/05/18 11 308 12881 365 0
63 2020/05/19 13 321 13259 378 0
64 2020/05/20 24 345 13661 402 0
65 2020/05/21 27 372 14090 429 0
66 2020/05/22 11 383 14530 440 0
67 2020/05/23 4 387 14974 444 0
68 2020/05/24 0 387 15418 444 0
69 2020/05/25 2 389 15864 446 0
70 2020/05/26 17 406 16327 463 0
71 2020/05/27 12 418 16802 475 0
72 2020/05/28 28 446 17305 503 0
73 2020/05/29 24 470 17832 527 0
74 2020/05/30 8 478 18367 535 0
75 2020/05/31 0 478 18902 535 0
76 2020/06/01 10 488 19447 545 0
77 2020/06/02 41 529 20033 586 0
78 2020/06/03 28 557 20647 614 0
79 2020/06/04 18 575 21279 632 0
80 2020/06/05 23 598 21934 655 0
81 2020/06/06 9 607 22598 664 0
82 2020/06/07 5 612 23267 669 0
83 2020/06/08 14 626 23950 683 0
84 2020/06/09 41 667 24674 724 0
85 2020/06/10 36 703 25434 760 0
86 2020/06/11 32 735 26226 792 0
87 2020/06/12 48 783 27066 840 0
88 2020/06/13 3 786 27909 843 0
89 2020/06/14 31 817 28783 874 0
90 2020/06/15 165 982 29822 1039 0
91 2020/06/16 166 1148 31027 1205 0
92 2020/06/17 53 1201 32285 1258 0
93 2020/06/18 192 1393 33735 1450 0
94 2020/06/19 61 1454 35246 1511 0
95 2020/06/20 29 1483 36786 1540 0
96 2020/06/21 20 1503 38346 1560 0
97 2020/06/22 158 1661 40064 1718 0
98 2020/06/23 256 1917 42038 1974 0
99 2020/06/24 260 2177 44272 2234 0
100 2020/06/25 229 2406 46735 2463 0
101 2020/06/26 101 2507 49299 2564 0
102 2020/06/27 36 2543 51899 2600 0
103 2020/06/28 48 2591 54547 2648 0
104 2020/06/29 347 2938 57542 2995 0
105 2020/06/30 77 3015 60614 3072 0
106 2020/07/01 70 3085 63756 3142 0
107 2020/07/02 158 3243 67056 3300 0
108 2020/07/03 85 3328 70441 3385 0
109 2020/07/04 29 3357 73855 3414 0
110 2020/07/05 29 3386 77298 3443 0
111 2020/07/06 185 3571 80926 3628 0
112 2020/07/07 242 3813 84796 3870 0
113 2020/07/08 89 3902 88755 3959 0
114 2020/07/09 100 4002 92814 4059 0
115 2020/07/10 152 4154 97025 4211 0
116 2020/07/11 61 4215 101297 4272 0
117 2020/07/12 27 4242 105596 4299 0
118 2020/07/13 78 4320 109973 4377 0
119 2020/07/14 103 4423 114453 4480 0
120 2020/07/15 114 4537 119047 4594 0
121 2020/07/16 55 4592 123696 4649 0
122 2020/07/17 72 4664 128417 4721 0
123 2020/07/18 37 4701 133175 4758 0
124 2020/07/19 30 4731 137963 4788 0
125 2020/07/20 57 4788 142808 4845 0
126 2020/07/21 80 4868 147733 4925 0
127 2020/07/22 73 4941 152731 4998 0
128 2020/07/23 56 4997 157785 5054 1
129 2020/07/24 51 5048 162890 5105 0
130 2020/07/25 27 5075 168022 5132 0
131 2020/07/26 16 5091 173170 5148 0
132 2020/07/27 46 5137 178364 5194 0
133 2020/07/28 89 5226 183647 5283 0
134 2020/07/29 69 5295 188999 5352 0
135 2020/07/30 38 5333 194389 5390 0
136 2020/07/31 42 5375 199821 5432 0
137 2020/08/01 44 5419 205297 5476 0
138 2020/08/02 15 5434 210788 5491 0
139 2020/08/03 34 5468 216313 5525 0
140 2020/08/04 47 5515 221885 5572 0
141 2020/08/05 31 5546 227488 5603 0
142 2020/08/06 32 5578 233123 5635 0
143 2020/08/07 32 5610 238790 5667 0
144 2020/08/08 29 5639 244486 5696 0
145 2020/08/09 19 5658 250201 5715 0
146 2020/08/10 43 5701 255959 5758 0
147 2020/08/11 40 5741 261757 5798 0
148 2020/08/12 31 5772 267586 5829 0
149 2020/08/13 22 5794 273437 5851 0
150 2020/08/14 16 5810 279304 5867 0
151 2020/08/15 11 5821 285182 5878 0
152 2020/08/16 7 5828 291067 5885 0
153 2020/08/17 26 5854 296978 5911 0
154 2020/08/18 23 5877 302912 5934 0
155 2020/08/19 30 5907 308876 5964 1
156 2020/08/20 25 5932 314865 5989 0
157 2020/08/21 18 5950 320872 6007 0
158 2020/08/22 20 5970 326899 6027 0
159 2020/08/23 12 5982 332938 6039 0
160 2020/08/24 41 6023 339018 6080 0
161 2020/08/25 63 6086 345161 6143 0
162 2020/08/26 38 6124 351342 6181 0
163 2020/08/27 17 6141 357540 6198 0
164 2020/08/28 23 6164 363761 6221 0
165 2020/08/29 22 6186 370004 6243 0
166 2020/08/30 11 6197 376258 6254 0
167 2020/08/31 30 6227 382542 6284 0
168 2020/09/01 38 6265 388864 6322 0
169 2020/09/02 15 6280 395201 6337 1
170 2020/09/03 15 6295 401553 6352 0
171 2020/09/04 19 6314 407924 6371 0
172 2020/09/05 12 6326 414307 6383 0
173 2020/09/06 7 6333 420697 6390 0
174 2020/09/07 13 6346 427100 6403 0
175 2020/09/08 28 6374 433531 6431 0
176 2020/09/09 31 6405 439993 6462 0
177 2020/09/10 19 6424 446474 6481 0
178 2020/09/11 12 6436 452967 6493 0
179 2020/09/12 3 6439 459463 6496 0
180 2020/09/13 8 6447 465967 6504 0
181 2020/09/14 21 6468 472492 6525 0
182 2020/09/15 21 6489 479038 6546 0
183 2020/09/16 31 6520 485615 6577 0
184 2020/09/17 26 6546 492218 6603 0
185 2020/09/18 21 6567 498842 6624 0
186 2020/09/19 15 6582 505481 6639 0
187 2020/09/20 7 6589 512127 6646 0
188 2020/09/21 25 6614 518798 6671 0
189 2020/09/22 11 6625 525480 6682 0
190 2020/09/23 14 6639 532176 6696 0
191 2020/09/24 20 6659 538892 6716 0
192 2020/09/25 27 6686 545635 6743 0
193 2020/09/26 3 6689 552381 6746 0
194 2020/09/27 14 6703 559141 6760 0
195 2020/09/28 10 6713 565911 6770 0
196 2020/09/29 16 6729 572697 6786 0
197 2020/09/30 21 6750 579504 6807 0
198 2020/10/01 24 6774 586335 6831 0
199 2020/10/02 14 6788 593180 6845 1
200 2020/10/03 17 6805 600042 6862 0
201 2020/10/04 6 6811 606910 6868 0
202 2020/10/05 19 6830 613797 6887 0
203 2020/10/06 16 6846 620700 6903 0
204 2020/10/07 15 6861 627618 6918 0
205 2020/10/08 26 6887 634562 6944 0
206 2020/10/09 14 6901 641520 6958 0
207 2020/10/10 14 6915 648492 6972 0
208 2020/10/11 7 6922 655471 6979 0
209 2020/10/12 9 6931 662459 6988 0
210 2020/10/13 15 6946 669462 7003 0
211 2020/10/14 21 6967 676486 7024 0
212 2020/10/15 5 6972 683515 7029 0
213 2020/10/16 5 6977 690549 7034 0
214 2020/10/17 9 6986 697592 7043 0
215 2020/10/18 3 6989 704638 7046 0
216 2020/10/19 21 7010 711705 7067 0
217 2020/10/20 16 7026 718788 7083 0
218 2020/10/21 16 7042 725887 7099 0
219 2020/10/22 12 7054 732998 7111 0
220 2020/10/23 5 7059 740114 7116 0
221 2020/10/24 13 7072 747243 7129 0
222 2020/10/25 9 7081 754381 7138 0
223 2020/10/26 10 7091 761529 7148 0
224 2020/10/27 6 7097 768683 7154 0
225 2020/10/28 16 7113 775853 7170 0
226 2020/10/29 11 7124 783034 7181 1
227 2020/10/30 13 7137 790228 7194 0
228 2020/10/31 20 7157 797442 7214 0
229 2020/11/01 15 7172 804671 7229 0
230 2020/11/02 17 7189 811917 7246 0
231 2020/11/03 18 7207 819181 7264 0
232 2020/11/04 20 7227 826465 7284 0
233 2020/11/05 11 7238 833760 7295 0
234 2020/11/06 22 7260 841077 7317 0
235 2020/11/07 20 7280 848414 7337 0
236 2020/11/08 11 7291 855762 7348 0
237 2020/11/09 20 7311 863130 7368 0
238 2020/11/10 26 7337 870524 7394 0
239 2020/11/11 18 7355 877936 7412 0
240 2020/11/12 23 7378 885371 7435 0
241 2020/11/13 29 7407 892835 7464 0
242 2020/11/14 13 7420 900312 7477 0
243 2020/11/15 16 7436 907805 7493 0
244 2020/11/16 26 7462 915324 7519 0
245 2020/11/17 29 7491 922872 7548 0
246 2020/11/18 32 7523 930452 7580 0
247 2020/11/19 24 7547 938056 7604 0
248 2020/11/20 31 7578 945691 7635 0
249 2020/11/21 23 7601 953349 7658 0
250 2020/11/22 23 7624 961030 7681 0
251 2020/11/23 34 7658 968745 7715 0
252 2020/11/24 41 7699 976501 7756 0
253 2020/11/25 48 7747 984305 7804 0
254 2020/11/26 27 7774 992136 7831 0
255 2020/11/27 37 7811 1000004 7868 0
256 2020/11/28 44 7855 1007916 7912 0
257 2020/11/29 28 7883 1015856 7940 0
258 2020/11/30 66 7949 1023862 8006 0
259 2020/12/01 43 7992 1031911 8049 0
260 2020/12/02 70 8062 1040030 8119 0
261 2020/12/03 44 8106 1048193 8163 0
262 2020/12/04 60 8166 1056416 8223 0
263 2020/12/05 50 8216 1064689 8273 0
264 2020/12/06 26 8242 1072988 8299 0
265 2020/12/07 76 8318 1081363 8375 0
266 2020/12/08 57 8375 1089795 8432 0
267 2020/12/09 84 8459 1098311 8516 0
268 2020/12/10 60 8519 1106887 8576 0
269 2020/12/11 48 8567 1115511 8624 0
270 2020/12/12 94 8661 1124229 8718 0
271 2020/12/13 54 8715 1133001 8772 0
272 2020/12/14 121 8836 1141894 8893 0
273 2020/12/15 83 8919 1150870 8976 0
274 2020/12/16 107 9026 1159953 9083 0
275 2020/12/17 72 9098 1169108 9155 0
276 2020/12/18 59 9157 1178322 9214 0
277 2020/12/19 83 9240 1187619 9297 0
278 2020/12/20 38 9278 1196954 9335 0
279 2020/12/21 98 9376 1206387 9433 0
280 2020/12/22 70 9446 1215890 9503 0
281 2020/12/23 63 9509 1225456 9566 0
282 2020/12/24 56 9565 1235078 9622 0
283 2020/12/25 32 9597 1244732 9654 0
284 2020/12/26 52 9649 1254438 9706 0
285 2020/12/27 35 9684 1264179 9741 0
286 2020/12/28 123 9807 1274043 9864 0
287 2020/12/29 110 9917 1284017 9974 0
288 2020/12/30 152 10069 1294143 10126 1
289 2020/12/31 88 10157 1304357 10214 0
290 2021/01/01 41 10198 1314612 10255 0
291 2021/01/02 107 10305 1324974 10362 0
292 2021/01/03 45 10350 1335381 10407 1
293 2021/01/04 150 10500 1345938 10557 0
294 2021/01/05 133 10633 1356628 10690 0
295 2021/01/06 151 10784 1367469 10841 0
296 2021/01/07 127 10911 1378437 10968 0
297 2021/01/08 92 11003 1389497 11060 0
298 2021/01/09 95 11098 1400652 11155 0
299 2021/01/10 63 11161 1411870 11218 0
300 2021/01/11 119 11280 1423207 11337 0
301 2021/01/12 96 11376 1434640 11433 0
302 2021/01/13 108 11484 1446181 11541 0
303 2021/01/14 56 11540 1457778 11597 1
304 2021/01/15 73 11613 1469448 11670 0
305 2021/01/16 52 11665 1481170 11722 0
306 2021/01/17 44 11709 1492936 11766 0
307 2021/01/18 54 11763 1504756 11820 0
308 2021/01/19 50 11813 1516626 11870 0
309 2021/01/20 58 11871 1528554 11928 0
310 2021/01/21 54 11925 1540536 11982 0
311 2021/01/22 57 11982 1552575 12039 0
312 2021/01/23 38 12020 1564652 12077 0
313 2021/01/24 55 12075 1576784 12132 0
314 2021/01/25 66 12141 1588982 12198 0
315 2021/01/26 54 12195 1601234 12252 0
316 2021/01/27 47 12242 1613533 12299 0
317 2021/01/28 38 12280 1625870 12337 0
318 2021/01/29 54 12334 1638261 12391 0
319 2021/01/30 43 12377 1650695 12434 0
320 2021/01/31 30 12407 1663159 12464 0
321 2021/02/01 47 12454 1675670 12511 0
322 2021/02/02 38 12492 1688219 12549 0
323 2021/02/03 29 12521 1700797 12578 0
324 2021/02/04 34 12555 1713409 12612 0
325 2021/02/05 36 12591 1726057 12648 0
326 2021/02/06 35 12626 1738740 12683 0
327 2021/02/07 21 12647 1751444 12704 0
328 2021/02/08 35 12682 1764183 12739 0
329 2021/02/09 29 12711 1776951 12768 0
330 2021/02/10 33 12744 1789752 12801 0
331 2021/02/11 37 12781 1802590 12838 0
332 2021/02/12 38 12819 1815466 12876 0
333 2021/02/13 26 12845 1828368 12902 0
334 2021/02/14 21 12866 1841291 12923 0
335 2021/02/15 25 12891 1854239 12948 0
336 2021/02/16 20 12911 1867207 12968 0
337 2021/02/17 26 12937 1880201 12994 0
338 2021/02/18 27 12964 1893222 13021 0
339 2021/02/19 13 12977 1906256 13034 0
340 2021/02/20 23 13000 1919313 13057 0
341 2021/02/21 21 13021 1932391 13078 0
342 2021/02/22 33 13054 1945502 13111 0
343 2021/02/23 24 13078 1958637 13135 0
344 2021/02/24 20 13098 1971792 13155 0
345 2021/02/25 26 13124 1984973 13181 0
346 2021/02/26 26 13150 1998180 13207 0
347 2021/02/27 13 13163 2011400 13220 0
348 2021/02/28 23 13186 2024643 13243 0
349 2021/03/01 21 13207 2037907 13264 0
350 2021/03/02 23 13230 2051194 13287 0
351 2021/03/03 22 13252 2064503 13309 0
352 2021/03/04 12 13264 2077824 13321 0
353 2021/03/05 16 13280 2091161 13337 0
354 2021/03/06 8 13288 2104506 13345 1
355 2021/03/07 6 13294 2117857 13351 0
356 2021/03/08 14 13308 2131222 13365 0
357 2021/03/09 16 13324 2144603 13381 0
358 2021/03/10 15 13339 2157999 13396 0
359 2021/03/11 10 13349 2171405 13406 0
360 2021/03/12 6 13355 2184817 13412 0
361 2021/03/13 5 13360 2198234 13417 0
362 2021/03/14 4 13364 2211655 13421 0
363 2021/03/15 10 13374 2225086 13431 0
364 2021/03/16 3 13377 2238520 13434 0
365 2021/03/17 1 13378 2251955 13435 0
366 2021/03/18 0 13378 2265390 13435 2
