dates I C D F E HC HS HP HB IC IS IB
1 2020/03/18 0 0 0 0 0 0 0 0 0 0 0 0
2 2020/03/19 1 1 0 0 0 0 0 0 0 0 0 0
3 2020/03/20 0 1 0 0 0 0 0 0 0 0 0 0
4 2020/03/21 0 1 0 0 0 0 0 0 0 0 0 0
5 2020/03/22 0 1 0 0 0 0 0 0 0 0 0 0
6 2020/03/23 0 1 0 0 0 0 0 0 0 0 0 0
7 2020/03/24 0 1 0 0 0 0 0 0 0 0 0 0
8 2020/03/25 0 1 0 0 0 0 0 0 0 0 0 0
9 2020/03/26 0 1 0 0 0 0 0 0 0 0 0 0
10 2020/03/27 1 2 0 0 0 0 0 0 0 0 0 0
11 2020/03/28 0 2 0 0 0 0 0 0 0 0 0 0
12 2020/03/29 0 2 0 0 0 1 11 0 0 0 0 1
13 2020/03/30 0 2 0 0 0 2 11 0 0 0 1 8
14 2020/03/31 2 4 0 0 0 0 1 0 0 0 0 7
15 2020/04/01 0 4 0 0 0 0 2 0 0 0 0 8
16 2020/04/02 0 4 0 0 0 0 1 0 0 0 0 8
17 2020/04/03 0 4 0 0 0 0 5 0 0 0 1 6
18 2020/04/04 0 4 0 0 0 0 3 0 0 0 1 7
19 2020/04/05 0 4 0 0 0 0 3 0 0 0 2 4
20 2020/04/06 0 4 0 0 0 0 2 0 0 0 2 10
21 2020/04/07 0 4 0 0 0 0 2 0 0 0 0 9
22 2020/04/08 0 4 0 0 0 0 0 0 0 0 0 7
23 2020/04/09 0 4 0 0 0 0 0 0 0 0 0 8
24 2020/04/10 0 4 0 0 0 0 1 0 0 0 1 5
25 2020/04/11 0 4 0 0 0 0 1 0 0 0 1 9
26 2020/04/12 0 4 0 0 0 0 0 0 0 0 0 6
27 2020/04/13 0 4 0 0 0 7 1 0 0 3 0 6
28 2020/04/14 0 4 0 0 0 0 0 0 0 0 0 6
29 2020/04/15 0 4 0 0 0 0 0 0 0 0 0 8
30 2020/04/16 0 4 0 0 0 0 0 0 0 0 0 8
31 2020/04/17 0 4 0 0 0 0 0 0 0 0 0 7
32 2020/04/18 0 4 0 0 0 0 0 0 0 0 0 9
33 2020/04/19 0 4 0 0 0 0 0 0 0 0 0 9
34 2020/04/20 1 5 0 0 0 0 0 0 0 0 0 7
35 2020/04/21 0 5 0 0 0 0 1 1 151 0 0 9
36 2020/04/22 0 5 0 0 0 0 0 0 151 0 0 7
37 2020/04/23 0 5 0 0 0 0 1 1 151 0 1 7
38 2020/04/24 0 5 0 0 0 0 1 1 151 0 0 9
39 2020/04/25 0 5 0 0 0 0 0 0 151 0 0 10
40 2020/04/26 0 5 0 0 0 0 0 0 151 0 0 12
41 2020/04/27 5 10 0 0 0 0 1 1 151 0 1 7
42 2020/04/28 0 10 0 0 0 0 0 0 151 0 0 8
43 2020/04/29 1 11 0 0 0 0 0 0 151 0 0 6
44 2020/04/30 0 11 0 0 0 0 0 0 151 0 0 5
45 2020/05/01 0 11 0 0 0 0 0 0 151 0 0 6
46 2020/05/02 0 10 0 0 1 0 0 0 151 0 0 7
47 2020/05/03 0 10 0 0 0 0 0 0 151 0 0 7
48 2020/05/04 0 10 0 0 0 0 0 0 180 0 0 5
49 2020/05/05 0 10 0 0 0 0 0 0 158 0 0 5
50 2020/05/06 0 10 0 0 0 0 0 0 180 0 0 4
51 2020/05/07 0 10 0 0 0 0 0 0 180 0 0 3
52 2020/05/08 0 10 0 0 0 0 0 0 180 0 0 4
53 2020/05/09 0 10 0 0 0 0 0 0 180 0 0 4
54 2020/05/10 0 10 0 0 0 0 0 0 180 0 0 4
55 2020/05/11 0 10 0 0 0 0 0 0 180 0 0 5
56 2020/05/12 0 10 0 0 0 0 0 0 180 0 0 4
57 2020/05/13 0 10 0 0 0 0 0 0 180 0 0 2
58 2020/05/14 0 10 0 0 0 0 0 0 180 0 0 3
59 2020/05/15 0 10 0 0 0 0 0 0 180 0 0 4
60 2020/05/16 0 10 0 0 0 0 0 0 180 0 0 5
61 2020/05/17 0 10 0 0 0 1 0 1 180 1 0 4
62 2020/05/18 2 12 0 0 0 1 0 1 180 1 0 4
63 2020/05/19 0 12 0 0 0 1 0 1 180 1 0 6
64 2020/05/20 0 12 0 0 0 1 0 1 180 1 0 7
65 2020/05/21 0 12 0 0 0 1 0 1 180 1 0 7
66 2020/05/22 1 13 0 0 0 1 0 1 180 1 0 6
67 2020/05/23 0 13 0 0 0 3 2 5 180 0 0 7
68 2020/05/24 6 19 0 0 0 3 2 5 180 0 0 7
69 2020/05/25 0 19 0 0 0 2 0 2 180 1 0 5
70 2020/05/26 1 20 0 0 0 3 1 4 180 1 0 4
71 2020/05/27 1 21 0 0 0 3 1 4 180 1 1 3
72 2020/05/28 3 24 0 0 0 3 0 3 180 1 0 4
73 2020/05/29 1 25 0 0 0 2 0 2 180 1 0 3
74 2020/05/30 0 24 0 0 1 2 0 2 180 1 0 4
75 2020/05/31 0 24 0 0 0 1 0 1 180 1 0 2
76 2020/06/01 4 28 0 0 0 0 1 1 180 1 1 2
77 2020/06/02 1 29 0 0 0 1 0 1 180 1 0 4
78 2020/06/03 0 29 0 0 0 1 0 1 180 1 0 3
79 2020/06/04 0 29 0 0 0 1 0 1 180 1 1 2
80 2020/06/05 3 32 0 0 0 1 0 1 180 1 0 2
81 2020/06/06 0 32 0 0 0 1 0 1 180 1 0 2
82 2020/06/07 0 32 0 0 0 1 0 1 180 1 0 2
83 2020/06/08 0 32 0 0 0 1 0 1 180 1 0 2
84 2020/06/09 3 35 0 0 0 1 0 1 180 1 0 1
85 2020/06/10 0 35 0 0 0 1 0 1 180 1 0 3
86 2020/06/11 0 35 0 0 0 0 0 0 180 0 0 3
87 2020/06/12 0 33 0 0 1 0 0 0 180 0 0 5
88 2020/06/13 0 33 0 0 0 0 0 0 180 0 0 5
89 2020/06/14 0 33 0 0 0 0 0 0 180 0 0 4
90 2020/06/15 0 33 0 0 0 0 1 1 180 0 1 5
91 2020/06/16 2 35 0 0 0 0 0 0 180 0 0 4
92 2020/06/17 7 42 0 0 0 0 0 0 180 0 0 4
93 2020/06/18 3 45 0 0 0 0 0 0 180 0 0 4
94 2020/06/19 3 48 0 0 0 1 3 4 180 0 0 4
95 2020/06/20 0 48 0 0 0 0 0 0 180 0 0 6
96 2020/06/21 0 48 0 0 0 0 0 0 180 0 0 10
97 2020/06/22 0 48 0 0 0 0 0 0 180 0 0 10
98 2020/06/23 13 61 0 0 0 0 0 0 180 0 0 7
99 2020/06/24 0 60 0 0 1 0 0 0 180 0 0 6
100 2020/06/25 1 61 0 0 0 0 0 0 180 0 0 4
101 2020/06/26 2 63 0 0 0 0 0 0 180 0 0 6
102 2020/06/27 0 63 0 0 0 0 0 0 180 0 0 5
103 2020/06/28 1 64 0 0 0 0 0 0 180 0 0 5
104 2020/06/29 2 66 0 0 0 0 0 0 180 0 0 3
105 2020/06/30 2 68 0 0 0 0 0 0 180 0 0 4
106 2020/07/01 2 70 0 0 0 0 0 0 180 0 0 4
107 2020/07/02 1 71 0 0 0 0 0 0 180 0 0 2
108 2020/07/03 1 72 0 0 0 0 0 0 180 0 0 1
109 2020/07/04 0 72 0 0 0 0 1 1 180 0 0 2
110 2020/07/05 0 72 0 0 0 0 0 0 180 0 0 2
111 2020/07/06 0 72 0 0 0 0 0 0 180 0 0 6
112 2020/07/07 10 82 0 0 0 0 0 0 180 0 0 3
113 2020/07/08 2 84 0 0 0 0 0 0 180 0 0 3
114 2020/07/09 4 88 0 0 0 0 0 0 180 0 0 4
115 2020/07/10 0 88 0 0 0 2 0 2 180 0 0 7
116 2020/07/11 0 88 0 0 0 2 0 2 180 0 0 7
117 2020/07/12 0 88 0 0 0 2 0 2 180 0 0 7
118 2020/07/13 0 87 0 0 1 0 0 0 180 0 0 11
119 2020/07/14 23 110 0 0 0 0 0 0 180 0 0 8
120 2020/07/15 9 119 0 0 0 2 0 2 180 2 0 11
121 2020/07/16 2 121 0 0 0 5 0 5 180 3 0 10
122 2020/07/17 5 126 0 0 0 9 1 10 180 6 0 8
123 2020/07/18 11 137 0 0 0 9 1 10 180 1 0 13
124 2020/07/19 0 137 0 0 0 9 2 11 180 2 0 13
125 2020/07/20 16 153 0 0 0 8 2 10 180 1 0 7
126 2020/07/21 7 160 0 0 0 6 2 8 180 1 0 7
127 2020/07/22 6 166 0 0 0 5 0 5 150 1 0 0
128 2020/07/23 12 178 3 3 0 5 1 6 150 1 0 0
129 2020/07/24 10 188 4 1 0 6 0 6 150 2 0 5
130 2020/07/25 2 190 6 2 0 7 0 7 150 2 0 5
131 2020/07/26 16 206 6 0 0 7 1 8 150 2 0 2
132 2020/07/27 3 209 6 0 0 6 2 8 150 1 0 0
133 2020/07/28 13 222 6 0 0 5 1 6 150 1 0 0
134 2020/07/29 6 228 6 0 0 5 1 6 150 1 0 2
135 2020/07/30 4 232 6 0 0 5 0 5 150 0 0 4
136 2020/07/31 0 232 9 3 0 8 0 8 150 0 0 0
137 2020/08/01 11 243 9 0 0 8 0 8 150 0 0 0
138 2020/08/02 4 247 9 0 0 12 0 12 150 0 0 9
139 2020/08/03 1 248 9 0 0 10 0 10 150 0 0 11
140 2020/08/04 0 248 9 0 0 12 0 12 150 0 0 8
141 2020/08/05 0 248 10 1 0 13 0 13 150 1 0 7
142 2020/08/06 12 260 10 0 0 14 0 14 150 2 0 5
143 2020/08/07 2 262 10 0 0 17 0 17 150 9 0 7
144 2020/08/08 2 264 10 0 0 13 0 13 150 1 0 7
145 2020/08/09 19 283 10 0 0 14 0 14 150 1 0 6
146 2020/08/10 81 364 10 0 0 15 0 15 150 2 0 8
147 2020/08/11 21 385 10 0 0 14 0 14 150 3 0 6
148 2020/08/12 1 386 10 0 0 16 0 16 150 4 0 4
149 2020/08/13 15 401 10 0 0 15 0 15 150 4 0 8
150 2020/08/14 31 432 10 0 0 13 0 13 150 4 0 7
151 2020/08/15 12 444 10 0 0 10 1 11 150 4 0 5
152 2020/08/16 7 451 10 0 0 9 0 9 150 4 0 8
153 2020/08/17 3 454 10 0 0 9 0 9 150 4 0 7
154 2020/08/18 14 468 12 2 0 9 0 9 150 4 0 8
155 2020/08/19 27 495 12 0 0 6 0 6 150 3 0 7
156 2020/08/20 2 497 14 2 0 5 0 5 150 2 0 6
157 2020/08/21 8 505 16 2 0 5 0 5 150 2 0 7
158 2020/08/22 24 529 16 0 0 3 0 3 150 1 0 4
159 2020/08/23 21 550 16 0 0 3 0 3 150 1 0 5
160 2020/08/24 0 550 16 0 0 2 0 2 150 1 0 8
161 2020/08/25 21 571 16 0 0 3 0 3 150 1 0 8
162 2020/08/26 10 581 16 0 0 3 0 3 150 1 0 3
163 2020/08/27 0 581 17 1 0 5 0 5 150 0 0 3
164 2020/08/28 7 588 17 0 0 5 0 5 150 0 0 3
165 2020/08/29 8 596 17 0 0 2 0 2 150 0 0 5
166 2020/08/30 15 611 17 0 0 2 0 2 150 0 0 6
167 2020/08/31 7 618 17 0 0 2 0 2 150 0 0 6
168 2020/09/01 8 626 17 0 0 4 0 4 150 2 0 4
169 2020/09/02 10 636 17 0 0 4 0 4 150 1 0 4
170 2020/09/03 2 638 17 0 0 4 0 4 150 1 0 1
171 2020/09/04 8 646 17 0 0 4 0 4 150 1 0 1
172 2020/09/05 12 658 17 0 0 4 0 4 150 1 0 1
173 2020/09/06 14 672 17 0 0 5 0 5 150 2 0 1
174 2020/09/07 15 687 17 0 0 4 0 4 150 2 0 2
175 2020/09/08 3 690 17 0 0 4 1 5 150 2 1 4
176 2020/09/09 5 695 17 0 0 1 0 1 150 1 0 5
177 2020/09/10 2 697 18 1 0 2 0 2 150 1 0 6
178 2020/09/11 3 700 17 0 1 3 0 3 150 1 0 6
179 2020/09/12 0 700 17 0 0 4 0 4 150 1 0 6
180 2020/09/13 7 707 17 0 0 3 0 3 150 1 0 6
181 2020/09/14 3 710 17 0 0 5 0 5 150 1 0 5
182 2020/09/15 14 724 18 1 0 5 0 5 150 1 0 6
183 2020/09/16 3 727 18 0 0 6 1 7 150 1 0 4
184 2020/09/17 10 737 18 0 0 6 1 7 150 1 0 4
185 2020/09/18 2 739 18 0 0 5 0 5 150 2 0 5
186 2020/09/19 11 750 18 0 0 5 0 5 150 1 0 8
187 2020/09/20 15 765 18 0 0 4 0 4 150 1 0 7
188 2020/09/21 13 778 18 0 0 5 0 5 150 2 0 8
189 2020/09/22 16 794 18 0 0 6 0 6 150 2 0 4
190 2020/09/23 7 801 18 0 0 8 0 8 150 2 0 5
