dates I C D F E
1 2020/03/18 2 2 12 12 2
2 2020/03/19 1 3 25 13 2
3 2020/03/20 2 5 40 15 2
4 2020/03/21 0 5 55 15 2
5 2020/03/22 0 5 70 15 2
6 2020/03/23 5 10 90 20 2
7 2020/03/24 2 12 112 22 2
8 2020/03/25 1 13 135 23 2
9 2020/03/26 1 14 159 24 2
10 2020/03/27 1 15 184 25 2
11 2020/03/28 0 15 209 25 2
12 2020/03/29 2 17 236 27 3
13 2020/03/30 0 17 263 27 2
14 2020/03/31 0 17 290 27 2
15 2020/04/01 2 19 319 29 2
16 2020/04/02 0 19 348 29 2
17 2020/04/03 0 19 377 29 2
18 2020/04/04 0 19 406 29 2
19 2020/04/05 0 19 435 29 2
20 2020/04/06 0 19 464 29 2
21 2020/04/07 0 19 493 29 2
22 2020/04/08 1 20 523 30 2
23 2020/04/09 0 20 553 30 2
24 2020/04/10 0 20 583 30 2
25 2020/04/11 0 20 613 30 2
26 2020/04/12 0 20 643 30 2
27 2020/04/13 0 20 673 30 2
28 2020/04/14 0 20 703 30 2
29 2020/04/15 0 20 733 30 2
30 2020/04/16 0 20 763 30 2
31 2020/04/17 0 20 793 30 2
32 2020/04/18 0 20 823 30 2
33 2020/04/19 0 20 853 30 2
34 2020/04/20 0 20 883 30 2
35 2020/04/21 0 20 913 30 2
36 2020/04/22 0 20 943 30 2
37 2020/04/23 1 21 974 31 2
38 2020/04/24 0 21 1005 31 2
39 2020/04/25 1 22 1037 32 2
40 2020/04/26 0 22 1069 32 2
41 2020/04/27 0 22 1101 32 2
42 2020/04/28 0 22 1133 32 2
43 2020/04/29 0 22 1165 32 2
44 2020/04/30 0 22 1197 32 2
45 2020/05/01 1 23 1230 33 2
46 2020/05/02 0 23 1263 33 2
47 2020/05/03 0 23 1296 33 2
48 2020/05/04 0 23 1329 33 2
49 2020/05/05 0 23 1362 33 0
50 2020/05/06 0 23 1395 33 0
51 2020/05/07 0 23 1428 33 0
52 2020/05/08 0 23 1461 33 0
53 2020/05/09 3 26 1497 36 0
54 2020/05/10 0 26 1533 36 0
55 2020/05/11 0 26 1569 36 0
56 2020/05/12 0 26 1605 36 0
57 2020/05/13 0 26 1641 36 0
58 2020/05/14 1 27 1678 37 0
59 2020/05/15 0 27 1715 37 0
60 2020/05/16 0 27 1752 37 0
61 2020/05/17 0 27 1789 37 0
62 2020/05/18 0 27 1826 37 0
63 2020/05/19 0 27 1863 37 0
64 2020/05/20 0 27 1900 37 0
65 2020/05/21 0 27 1937 37 0
66 2020/05/22 0 27 1974 37 0
67 2020/05/23 0 27 2011 37 0
68 2020/05/24 1 28 2049 38 0
69 2020/05/25 0 28 2087 38 0
70 2020/05/26 0 28 2125 38 0
71 2020/05/27 1 29 2164 39 0
72 2020/05/28 0 29 2203 39 0
73 2020/05/29 0 29 2242 39 0
74 2020/05/30 1 30 2282 40 0
75 2020/05/31 0 30 2322 40 0
76 2020/06/01 0 30 2362 40 0
77 2020/06/02 0 30 2402 40 0
78 2020/06/03 0 30 2442 40 0
79 2020/06/04 0 30 2482 40 0
80 2020/06/05 0 30 2522 40 0
81 2020/06/06 0 30 2562 40 0
82 2020/06/07 0 30 2602 40 0
83 2020/06/08 0 30 2642 40 0
84 2020/06/09 0 30 2682 40 0
85 2020/06/10 0 30 2722 40 0
86 2020/06/11 0 30 2762 40 0
87 2020/06/12 0 30 2802 40 0
88 2020/06/13 3 33 2845 43 0
89 2020/06/14 0 33 2888 43 1
90 2020/06/15 0 33 2931 43 0
91 2020/06/16 0 33 2974 43 0
92 2020/06/17 0 33 3017 43 0
93 2020/06/18 0 33 3060 43 0
94 2020/06/19 0 33 3103 43 0
95 2020/06/20 0 33 3146 43 0
96 2020/06/21 0 33 3189 43 0
97 2020/06/22 0 33 3232 43 0
98 2020/06/23 0 33 3275 43 0
99 2020/06/24 0 33 3318 43 0
100 2020/06/25 2 35 3363 45 0
101 2020/06/26 1 36 3409 46 0
102 2020/06/27 1 37 3456 47 0
103 2020/06/28 1 38 3504 48 0
104 2020/06/29 0 38 3552 48 0
105 2020/06/30 2 40 3602 50 0
106 2020/07/01 2 42 3654 52 0
107 2020/07/02 3 45 3709 55 0
108 2020/07/03 0 45 3764 55 0
109 2020/07/04 0 45 3819 55 0
110 2020/07/05 0 45 3874 55 0
111 2020/07/06 4 49 3933 59 0
112 2020/07/07 1 50 3993 60 0
113 2020/07/08 1 51 4054 61 0
114 2020/07/09 3 54 4118 64 0
115 2020/07/10 4 58 4186 68 0
116 2020/07/11 1 59 4255 69 0
117 2020/07/12 3 62 4327 72 0
118 2020/07/13 10 72 4409 82 0
119 2020/07/14 4 76 4495 86 0
120 2020/07/15 10 86 4591 96 0
121 2020/07/16 2 88 4689 98 0
122 2020/07/17 3 91 4790 101 0
123 2020/07/18 5 96 4896 106 0
124 2020/07/19 2 98 5004 108 0
125 2020/07/20 11 109 5123 119 0
126 2020/07/21 6 115 5248 125 0
127 2020/07/22 3 118 5376 128 0
128 2020/07/23 3 121 5507 131 0
129 2020/07/24 4 125 5642 135 0
130 2020/07/25 1 126 5778 136 0
131 2020/07/26 0 126 5914 136 0
132 2020/07/27 4 130 6054 140 0
133 2020/07/28 4 134 6198 144 0
134 2020/07/29 1 135 6343 145 0
135 2020/07/30 3 138 6491 148 0
136 2020/07/31 1 139 6640 149 0
137 2020/08/01 1 140 6790 150 0
138 2020/08/02 1 141 6941 151 0
139 2020/08/03 7 148 7099 158 0
140 2020/08/04 0 148 7257 158 0
141 2020/08/05 1 149 7416 159 0
142 2020/08/06 0 149 7575 159 0
143 2020/08/07 1 150 7735 160 0
144 2020/08/08 0 150 7895 160 0
145 2020/08/09 0 150 8055 160 0
146 2020/08/10 1 151 8216 161 0
147 2020/08/11 0 151 8377 161 0
148 2020/08/12 0 151 8538 161 0
149 2020/08/13 1 152 8700 162 0
150 2020/08/14 0 152 8862 162 0
151 2020/08/15 0 152 9024 162 0
152 2020/08/16 0 152 9186 162 0
153 2020/08/17 0 152 9348 162 0
154 2020/08/18 0 152 9510 162 0
155 2020/08/19 1 153 9673 163 1
156 2020/08/20 0 153 9836 163 0
157 2020/08/21 0 153 9999 163 0
158 2020/08/22 0 153 10162 163 0
159 2020/08/23 0 153 10325 163 0
160 2020/08/24 0 153 10488 163 0
161 2020/08/25 0 153 10651 163 0
162 2020/08/26 0 153 10814 163 0
163 2020/08/27 0 153 10977 163 0
164 2020/08/28 0 153 11140 163 0
165 2020/08/29 0 153 11303 163 0
166 2020/08/30 0 153 11466 163 0
167 2020/08/31 0 153 11629 163 0
168 2020/09/01 0 153 11792 163 0
169 2020/09/02 0 153 11955 163 0
170 2020/09/03 0 153 12118 163 1
171 2020/09/04 1 154 12282 164 0
172 2020/09/05 0 154 12446 164 0
173 2020/09/06 0 154 12610 164 0
174 2020/09/07 1 155 12775 165 0
175 2020/09/08 0 155 12940 165 0
