dates I C D F E HC HS HP HB IC IS IB
1 2020/03/18 2 2 0 0 0 0 0 0 0 0 0 0
2 2020/03/19 0 2 0 0 0 0 0 0 0 0 0 0
3 2020/03/20 0 2 0 0 0 0 0 0 0 0 0 0
4 2020/03/21 0 2 0 0 0 0 0 0 0 0 0 0
5 2020/03/22 0 2 0 0 0 0 0 0 0 0 0 0
6 2020/03/23 0 2 0 0 0 0 0 0 0 0 0 0
7 2020/03/24 2 4 0 0 0 0 0 0 0 0 0 0
8 2020/03/25 1 5 0 0 0 0 0 0 0 0 0 0
9 2020/03/26 2 7 0 0 0 0 0 0 0 0 0 0
10 2020/03/27 0 6 0 0 1 0 0 0 0 0 0 0
11 2020/03/28 5 11 0 0 0 0 0 0 0 0 0 0
12 2020/03/29 2 13 0 0 0 23 0 0 0 1 0 3
13 2020/03/30 1 14 0 0 0 26 17 0 0 2 5 3
14 2020/03/31 1 15 0 0 0 36 40 0 0 2 1 6
15 2020/04/01 0 15 0 0 0 36 54 0 0 0 4 3
16 2020/04/02 2 17 0 0 0 38 58 0 0 2 1 6
17 2020/04/03 2 19 1 1 0 2 4 0 0 2 1 5
18 2020/04/04 0 19 1 0 0 2 6 0 0 2 2 5
19 2020/04/05 0 19 1 0 0 2 4 0 0 2 1 3
20 2020/04/06 0 19 1 0 0 1 5 0 0 1 2 4
21 2020/04/07 1 20 1 0 0 1 4 0 0 1 2 3
22 2020/04/08 1 21 1 0 0 2 7 0 0 2 2 6
23 2020/04/09 2 23 1 0 0 2 4 0 0 2 1 4
24 2020/04/10 0 23 1 0 0 3 3 0 0 2 1 6
25 2020/04/11 1 24 1 0 0 3 3 0 0 2 1 5
26 2020/04/12 0 24 1 0 0 3 1 0 0 2 2 4
27 2020/04/13 0 24 1 0 0 2 2 0 0 2 2 5
28 2020/04/14 10 34 1 0 0 3 4 0 0 2 1 7
29 2020/04/15 0 34 1 0 0 3 4 0 0 2 1 2
30 2020/04/16 0 34 1 0 0 3 3 0 0 2 2 2
