dates I C D F E
1 2020/03/18 77 583 0 0 1
2 2020/03/19 55 638 1 1 1
3 2020/03/20 84 722 1 0 1
4 2020/03/21 47 769 1 0 2
5 2020/03/22 49 818 2 1 1
6 2020/03/23 69 887 2 0 1
7 2020/03/24 54 941 2 0 1
8 2020/03/25 62 1003 2 0 1
9 2020/03/26 58 1061 3 1 1
10 2020/03/27 62 1123 4 1 1
11 2020/03/28 53 1176 7 3 1
12 2020/03/29 36 1212 7 0 3
13 2020/03/30 74 1286 8 1 1
14 2020/03/31 66 1352 12 4 1
15 2020/04/01 68 1420 13 1 1
16 2020/04/02 53 1473 14 1 1
17 2020/04/03 53 1526 16 2 1
18 2020/04/04 39 1565 16 0 1
19 2020/04/05 42 1607 17 1 1
20 2020/04/06 58 1665 17 0 1
21 2020/04/07 45 1710 18 1 1
22 2020/04/08 47 1757 20 2 1
23 2020/04/09 62 1819 20 0 1
24 2020/04/10 76 1895 23 3 1
25 2020/04/11 47 1942 23 0 1
26 2020/04/12 61 2003 23 0 1
27 2020/04/13 61 2064 26 3 1
28 2020/04/14 73 2137 28 2 1
29 2020/04/15 105 2242 31 3 1
30 2020/04/16 103 2345 34 3 1
31 2020/04/17 65 2410 35 1 1
32 2020/04/18 51 2461 36 1 1
33 2020/04/19 64 2525 37 1 1
34 2020/04/20 99 2624 37 0 1
35 2020/04/21 81 2705 41 4 1
36 2020/04/22 122 2827 43 2 1
37 2020/04/23 93 2920 47 4 1
38 2020/04/24 178 3098 48 1 1
39 2020/04/25 108 3206 48 0 1
40 2020/04/26 106 3312 51 3 1
41 2020/04/27 166 3478 52 1 1
42 2020/04/28 169 3647 56 4 1
43 2020/04/29 166 3813 60 4 1
44 2020/04/30 132 3945 62 2 1
45 2020/05/01 216 4161 68 6 1
46 2020/05/02 79 4240 73 5 1
47 2020/05/03 114 4354 76 3 1
48 2020/05/04 173 4527 79 3 1
49 2020/05/05 139 4666 82 3 0
50 2020/05/06 122 4788 89 7 0
51 2020/05/07 183 4971 96 7 0
52 2020/05/08 183 5154 98 2 0
53 2020/05/09 144 5298 105 7 0
54 2020/05/10 82 5380 107 2 0
55 2020/05/11 145 5525 111 4 0
56 2020/05/12 209 5734 111 0 0
57 2020/05/13 183 5917 113 2 0
58 2020/05/14 246 6163 119 6 0
59 2020/05/15 176 6339 123 4 0
60 2020/05/16 171 6510 125 2 0
61 2020/05/17 76 6586 132 7 0
62 2020/05/18 180 6766 141 9 0
63 2020/05/19 191 6957 143 2 0
64 2020/05/20 196 7153 152 9 0
65 2020/05/21 208 7361 158 6 0
66 2020/05/22 202 7563 163 5 0
67 2020/05/23 194 7757 171 8 0
68 2020/05/24 158 7915 175 4 0
69 2020/05/25 155 8070 180 5 0
70 2020/05/26 222 8292 190 10 0
71 2020/05/27 268 8560 192 2 0
72 2020/05/28 158 8718 200 8 0
73 2020/05/29 196 8914 206 6 0
74 2020/05/30 195 9109 212 6 0
75 2020/05/31 155 9264 220 8 0
76 2020/06/01 211 9475 232 12 0
77 2020/06/02 196 9671 241 9 0
78 2020/06/03 201 9872 245 4 0
79 2020/06/04 228 10100 250 5 0
80 2020/06/05 252 10352 256 6 0
81 2020/06/06 195 10547 260 4 0
82 2020/06/07 159 10706 270 10 0
83 2020/06/08 257 10963 281 11 0
