dates I C D F E
1 2020/03/18 6 90 2 0 1
2 2020/03/19 12 102 3 1 1
3 2020/03/20 13 115 3 0 1
4 2020/03/21 15 130 3 0 1
5 2020/03/22 9 139 3 0 1
6 2020/03/23 14 153 3 0 1
7 2020/03/24 11 164 4 1 1
8 2020/03/25 11 175 4 0 1
9 2020/03/26 13 188 5 1 1
10 2020/03/27 11 199 5 0 1
11 2020/03/28 11 210 6 1 1
12 2020/03/29 8 218 7 1 3
13 2020/03/30 9 227 8 1 1
14 2020/03/31 7 234 9 1 1
15 2020/04/01 16 250 10 1 1
16 2020/04/02 11 261 11 1 1
17 2020/04/03 19 280 12 1 1
18 2020/04/04 12 292 12 0 1
19 2020/04/05 23 315 12 0 1
20 2020/04/06 15 330 14 2 1
21 2020/04/07 15 345 15 1 1
22 2020/04/08 18 363 16 1 1
23 2020/04/09 17 380 16 0 1
24 2020/04/10 21 401 16 0 1
25 2020/04/11 12 413 17 1 1
26 2020/04/12 5 418 17 0 1
27 2020/04/13 18 436 18 1 1
28 2020/04/14 14 450 18 0 1
29 2020/04/15 10 460 18 0 1
30 2020/04/16 8 468 18 0 1
31 2020/04/17 15 483 18 0 1
32 2020/04/18 11 494 18 0 1
33 2020/04/19 9 503 18 0 1
34 2020/04/20 18 521 20 2 1
35 2020/04/21 4 525 21 1 1
36 2020/04/22 10 535 21 0 1
37 2020/04/23 11 546 23 2 1
38 2020/04/24 10 556 25 2 1
39 2020/04/25 7 563 26 1 1
40 2020/04/26 7 570 26 0 1
41 2020/04/27 8 578 26 0 1
42 2020/04/28 6 584 26 0 1
43 2020/04/29 6 590 26 0 1
44 2020/04/30 8 598 26 0 1
45 2020/05/01 8 606 26 0 1
46 2020/05/02 4 610 27 1 1
47 2020/05/03 8 618 27 0 1
48 2020/05/04 7 625 27 0 1
49 2020/05/05 14 639 28 1 0
50 2020/05/06 9 648 30 2 0
51 2020/05/07 13 661 30 0 0
52 2020/05/08 13 674 31 1 0
53 2020/05/09 7 681 31 0 0
54 2020/05/10 9 690 31 0 0
55 2020/05/11 15 705 31 0 0
56 2020/05/12 10 715 31 0 0
57 2020/05/13 15 730 31 0 0
58 2020/05/14 21 751 32 1 0
59 2020/05/15 15 766 32 0 0
60 2020/05/16 6 772 33 1 0
61 2020/05/17 8 780 33 0 0
62 2020/05/18 30 810 33 0 0
63 2020/05/19 12 822 33 0 0
64 2020/05/20 22 844 34 1 0
65 2020/05/21 37 881 34 0 0
66 2020/05/22 36 917 35 1 0
67 2020/05/23 13 930 35 0 0
68 2020/05/24 15 945 37 2 0
69 2020/05/25 19 964 37 0 0
70 2020/05/26 26 990 38 1 0
71 2020/05/27 47 1037 38 0 0
72 2020/05/28 41 1078 39 1 0
73 2020/05/29 35 1113 39 0 0
74 2020/05/30 37 1150 39 0 0
75 2020/05/31 38 1188 39 0 0
76 2020/06/01 65 1253 39 0 0
77 2020/06/02 65 1318 39 0 0
78 2020/06/03 66 1384 39 0 0
79 2020/06/04 64 1448 40 1 0
80 2020/06/05 62 1510 40 0 0
81 2020/06/06 79 1589 41 1 0
82 2020/06/07 40 1629 43 2 0
83 2020/06/08 101 1730 45 2 0
84 2020/06/09 107 1837 45 0 0
85 2020/06/10 106 1943 47 2 0
86 2020/06/11 129 2072 47 0 0
87 2020/06/12 112 2184 47 0 0
88 2020/06/13 80 2264 49 2 0
89 2020/06/14 81 2345 49 0 0
90 2020/06/15 151 2496 50 1 0
91 2020/06/16 136 2632 50 0 0
92 2020/06/17 153 2785 51 1 1
93 2020/06/18 173 2958 53 2 0
94 2020/06/19 152 3110 53 0 0
95 2020/06/20 123 3233 54 1 0
96 2020/06/21 82 3315 55 1 0
97 2020/06/22 236 3551 58 3 0
98 2020/06/23 248 3799 59 1 0
99 2020/06/24 259 4058 60 1 0
100 2020/06/25 221 4279 61 1 0
101 2020/06/26 273 4552 62 1 0
102 2020/06/27 214 4766 62 0 0
103 2020/06/28 165 4931 62 0 0
104 2020/06/29 337 5268 63 1 0
105 2020/06/30 358 5626 65 2 0
106 2020/07/01 375 6001 65 0 0
107 2020/07/02 358 6359 68 3 0
108 2020/07/03 347 6706 71 3 0
109 2020/07/04 138 6844 71 0 0
110 2020/07/05 213 7057 75 4 0
111 2020/07/06 319 7376 79 4 0
112 2020/07/07 370 7746 84 5 0
113 2020/07/08 342 8088 87 3 0
114 2020/07/09 343 8431 89 2 0
115 2020/07/10 359 8790 94 5 0
116 2020/07/11 233 9023 97 3 0
117 2020/07/12 178 9201 104 7 1
118 2020/07/13 362 9563 113 9 0
119 2020/07/14 417 9980 120 7 0
120 2020/07/15 428 10408 124 4 0
121 2020/07/16 432 10840 129 5 0
122 2020/07/17 363 11203 134 5 0
123 2020/07/18 244 11447 139 5 0
124 2020/07/19 213 11660 151 12 0
125 2020/07/20 406 12066 160 9 0
126 2020/07/21 356 12422 171 11 0
127 2020/07/22 329 12751 178 7 0
128 2020/07/23 276 13027 185 7 0
129 2020/07/24 219 13246 190 5 0
130 2020/07/25 149 13395 199 9 0
131 2020/07/26 126 13521 210 11 0
132 2020/07/27 293 13814 218 8 0
133 2020/07/28 291 14105 227 9 0
134 2020/07/29 283 14388 234 7 0
135 2020/07/30 248 14636 240 6 0
136 2020/07/31 194 14830 251 11 0
137 2020/08/01 140 14970 257 6 0
138 2020/08/02 73 15043 268 11 0
139 2020/08/03 286 15329 282 14 0
140 2020/08/04 197 15526 290 8 0
141 2020/08/05 129 15655 299 9 0
142 2020/08/06 163 15818 305 6 0
143 2020/08/07 159 15977 312 7 0
144 2020/08/08 85 16062 318 6 0
145 2020/08/09 81 16143 326 8 0
146 2020/08/10 205 16348 334 8 0
147 2020/08/11 182 16530 343 9 0
148 2020/08/12 177 16707 346 3 0
149 2020/08/13 146 16853 351 5 0
150 2020/08/14 155 17008 355 4 0
151 2020/08/15 100 17108 357 2 0
152 2020/08/16 73 17181 365 8 0
153 2020/08/17 203 17384 368 3 0
154 2020/08/18 163 17547 374 6 0
155 2020/08/19 116 17663 380 6 0
156 2020/08/20 126 17789 384 4 0
157 2020/08/21 93 17882 385 1 0
158 2020/08/22 83 17965 388 3 0
159 2020/08/23 56 18021 396 8 0
160 2020/08/24 133 18154 399 3 0
161 2020/08/25 141 18295 405 6 0
162 2020/08/26 127 18422 409 4 0
163 2020/08/27 89 18511 414 5 0
164 2020/08/28 80 18591 419 5 0
165 2020/08/29 53 18644 423 4 0
166 2020/08/30 44 18688 426 3 0
167 2020/08/31 117 18805 429 3 0
168 2020/09/01 87 18892 432 3 0
169 2020/09/02 82 18974 439 7 0
170 2020/09/03 81 19055 443 4 0
171 2020/09/04 77 19132 445 2 0
172 2020/09/05 54 19186 449 4 0
173 2020/09/06 28 19214 450 1 0
174 2020/09/07 49 19263 455 5 1
175 2020/09/08 81 19344 457 2 1
176 2020/09/09 78 19422 460 3 0
177 2020/09/10 64 19486 463 3 0
178 2020/09/11 53 19539 464 1 0
179 2020/09/12 48 19587 466 2 0
180 2020/09/13 28 19615 468 2 0
181 2020/09/14 72 19687 472 4 0
182 2020/09/15 74 19761 474 2 0
183 2020/09/16 52 19813 474 0 0
184 2020/09/17 54 19867 477 3 0
185 2020/09/18 59 19926 480 3 0
186 2020/09/19 44 19970 482 2 0
187 2020/09/20 37 20007 484 2 2
188 2020/09/21 65 20072 486 2 0
189 2020/09/22 58 20130 488 2 0
190 2020/09/23 47 20177 488 0 0
191 2020/09/24 53 20230 489 1 0
192 2020/09/25 38 20268 491 2 0
193 2020/09/26 52 20320 493 2 0
194 2020/09/27 35 20355 495 2 2
195 2020/09/28 60 20415 498 3 0
196 2020/09/29 49 20464 500 2 0
197 2020/09/30 66 20530 500 0 0
198 2020/10/01 83 20613 501 1 0
199 2020/10/02 47 20660 501 0 0
200 2020/10/03 34 20694 504 3 0
201 2020/10/04 26 20720 508 4 1
202 2020/10/05 77 20797 508 0 1
203 2020/10/06 71 20868 509 1 0
204 2020/10/07 40 20908 509 0 0
205 2020/10/08 53 20961 512 3 0
206 2020/10/09 51 21012 512 0 0
207 2020/10/10 30 21042 516 4 0
208 2020/10/11 28 21070 518 2 1
209 2020/10/12 75 21145 518 0 0
210 2020/10/13 63 21208 519 1 0
211 2020/10/14 62 21270 520 1 0
212 2020/10/15 79 21349 520 0 0
213 2020/10/16 73 21422 520 0 0
214 2020/10/17 45 21467 520 0 0
215 2020/10/18 54 21521 523 3 1
216 2020/10/19 83 21604 524 1 1
217 2020/10/20 75 21679 524 0 0
218 2020/10/21 79 21758 524 0 0
219 2020/10/22 76 21834 524 0 0
220 2020/10/23 73 21907 525 1 0
221 2020/10/24 56 21963 525 0 0
222 2020/10/25 52 22015 525 0 0
223 2020/10/26 108 22123 528 3 0
224 2020/10/27 83 22206 528 0 0
225 2020/10/28 91 22297 528 0 0
226 2020/10/29 84 22381 529 1 0
227 2020/10/30 84 22465 529 0 0
228 2020/10/31 67 22532 529 0 0
229 2020/11/01 75 22607 530 1 0
230 2020/11/02 128 22735 533 3 0
231 2020/11/03 140 22875 533 0 0
232 2020/11/04 135 23010 536 3 0
233 2020/11/05 137 23147 537 1 0
234 2020/11/06 164 23311 539 2 0
235 2020/11/07 85 23396 539 0 0
236 2020/11/08 109 23505 540 1 1
237 2020/11/09 194 23699 541 1 1
238 2020/11/10 165 23864 541 0 0
239 2020/11/11 165 24029 542 1 0
240 2020/11/12 159 24188 543 1 0
241 2020/11/13 194 24382 545 2 0
242 2020/11/14 95 24477 545 0 0
243 2020/11/15 91 24568 547 2 0
244 2020/11/16 208 24776 549 2 1
245 2020/11/17 288 25064 550 1 0
246 2020/11/18 272 25336 550 0 0
247 2020/11/19 266 25602 551 1 1
248 2020/11/20 320 25922 552 1 1
249 2020/11/21 153 26075 555 3 0
250 2020/11/22 133 26208 557 2 1
251 2020/11/23 299 26507 559 2 0
252 2020/11/24 349 26856 560 1 0
253 2020/11/25 316 27172 562 2 1
254 2020/11/26 127 27299 564 2 1
255 2020/11/27 255 27554 565 1 0
256 2020/11/28 221 27775 569 4 0
257 2020/11/29 197 27972 572 3 1
258 2020/11/30 742 28714 576 4 0
259 2020/12/01 707 29421 579 3 0
260 2020/12/02 800 30221 583 4 0
261 2020/12/03 621 30842 588 5 0
262 2020/12/04 722 31564 589 1 0
263 2020/12/05 437 32001 596 7 0
264 2020/12/06 264 32265 603 7 0
265 2020/12/07 835 33100 608 5 0
266 2020/12/08 875 33975 612 4 0
267 2020/12/09 893 34868 614 2 0
268 2020/12/10 819 35687 619 5 0
269 2020/12/11 634 36321 630 11 0
270 2020/12/12 345 36666 640 10 0
271 2020/12/13 327 36993 647 7 1
272 2020/12/14 804 37797 652 5 0
273 2020/12/15 845 38642 666 14 0
274 2020/12/16 923 39565 679 13 0
275 2020/12/17 825 40390 685 6 0
276 2020/12/18 729 41119 694 9 0
277 2020/12/19 358 41477 709 15 0
278 2020/12/20 403 41880 722 13 0
279 2020/12/21 840 42720 732 10 1
280 2020/12/22 796 43516 748 16 0
281 2020/12/23 757 44273 759 11 1
282 2020/12/24 525 44798 769 10 0
283 2020/12/25 164 44962 780 11 0
284 2020/12/26 306 45268 791 11 0
285 2020/12/27 387 45655 800 9 0
286 2020/12/28 1036 46691 809 9 0
287 2020/12/29 933 47624 820 11 0
288 2020/12/30 922 48546 832 12 1
289 2020/12/31 690 49236 841 9 0
290 2021/01/01 311 49547 852 11 0
291 2021/01/02 287 49834 866 14 0
292 2021/01/03 378 50212 879 13 1
293 2021/01/04 1125 51337 889 10 0
294 2021/01/05 900 52237 909 20 0
295 2021/01/06 877 53114 929 20 0
296 2021/01/07 759 53873 936 7 0
297 2021/01/08 684 54557 945 9 0
298 2021/01/09 336 54893 953 8 0
299 2021/01/10 349 55242 967 14 0
300 2021/01/11 859 56101 978 11 0
301 2021/01/12 611 56712 992 14 0
302 2021/01/13 642 57354 1003 11 0
303 2021/01/14 624 57978 1015 12 0
304 2021/01/15 514 58492 1028 13 0
305 2021/01/16 235 58727 1039 11 0
306 2021/01/17 247 58974 1048 9 0
307 2021/01/18 360 59334 1056 8 0
308 2021/01/19 518 59852 1065 9 0
309 2021/01/20 384 60236 1079 14 0
310 2021/01/21 402 60638 1089 10 0
311 2021/01/22 309 60947 1099 10 0
312 2021/01/23 182 61129 1105 6 1
313 2021/01/24 126 61255 1112 7 0
314 2021/01/25 428 61683 1126 14 0
315 2021/01/26 295 61978 1133 7 0
316 2021/01/27 253 62231 1138 5 0
317 2021/01/28 270 62501 1151 13 0
318 2021/01/29 266 62767 1158 7 0
319 2021/01/30 145 62912 1164 6 0
320 2021/01/31 132 63044 1166 2 0
321 2021/02/01 403 63447 1177 11 0
322 2021/02/02 205 63652 1187 10 0
323 2021/02/03 220 63872 1195 8 0
324 2021/02/04 228 64100 1201 6 0
325 2021/02/05 225 64325 1205 4 0
326 2021/02/06 150 64475 1213 8 0
327 2021/02/07 79 64554 1216 3 0
328 2021/02/08 273 64827 1221 5 0
329 2021/02/09 161 64988 1227 6 0
330 2021/02/10 174 65162 1235 8 0
331 2021/02/11 141 65303 1242 7 0
332 2021/02/12 170 65473 1248 6 0
333 2021/02/13 94 65567 1253 5 0
334 2021/02/14 68 65635 1258 5 0
335 2021/02/15 99 65734 1263 5 0
336 2021/02/16 165 65899 1269 6 0
337 2021/02/17 122 66021 1277 8 0
338 2021/02/18 101 66122 1282 5 0
339 2021/02/19 87 66209 1293 11 0
340 2021/02/20 72 66281 1300 7 0
341 2021/02/21 73 66354 1300 0 1
342 2021/02/22 149 66503 1303 3 0
343 2021/02/23 100 66603 1305 2 0
344 2021/02/24 99 66702 1308 3 0
345 2021/02/25 111 66813 1309 1 0
346 2021/02/26 84 66897 1311 2 0
347 2021/02/27 81 66978 1320 9 0
348 2021/02/28 46 67024 1321 1 1
349 2021/03/01 108 67132 1322 1 0
350 2021/03/02 109 67241 1329 7 0
351 2021/03/03 108 67349 1331 2 0
352 2021/03/04 112 67461 1336 5 0
353 2021/03/05 93 67554 1339 3 0
354 2021/03/06 80 67634 1340 1 0
355 2021/03/07 75 67709 1342 2 0
356 2021/03/08 135 67844 1346 4 0
357 2021/03/09 116 67960 1349 3 0
358 2021/03/10 128 68088 1353 4 0
359 2021/03/11 102 68190 1354 1 0
360 2021/03/12 113 68303 1354 0 2
361 2021/03/13 71 68374 1354 0 2
362 2021/03/14 56 68430 1357 3 1
363 2021/03/15 128 68558 1359 2 0
364 2021/03/16 104 68662 1360 1 1
365 2021/03/17 102 68764 1363 3 0
366 2021/03/18 85 68849 1363 0 0
367 2021/03/19 100 68949 1366 3 0
368 2021/03/20 70 69019 1367 1 1
369 2021/03/21 41 69060 1370 3 0
370 2021/03/22 122 69182 1370 0 0
371 2021/03/23 92 69274 1370 0 0
372 2021/03/24 96 69370 1370 0 0
373 2021/03/25 71 69441 1370 0 0
374 2021/03/26 97 69538 1371 1 1
375 2021/03/27 63 69601 1371 0 0
376 2021/03/28 60 69661 1372 1 0
377 2021/03/29 125 69786 1374 2 0
378 2021/03/30 86 69872 1377 3 0
379 2021/03/31 88 69960 1377 0 0
380 2021/04/01 89 70049 1378 1 0
381 2021/04/02 82 70131 1378 0 0
382 2021/04/03 65 70196 1379 1 0
383 2021/04/04 41 70237 1380 1 0
384 2021/04/05 101 70338 1380 0 0
