dates I C D F E
1 2020/03/18 7 7 68 68 1
2 2020/03/19 6 13 142 74 1
3 2020/03/20 2 15 218 76 1
4 2020/03/21 4 19 298 80 1
5 2020/03/22 4 23 382 84 1
6 2020/03/23 5 28 471 89 1
7 2020/03/24 6 34 566 95 1
8 2020/03/25 2 36 663 97 1
9 2020/03/26 3 39 763 100 1
10 2020/03/27 5 44 868 105 1
11 2020/03/28 2 46 975 107 1
12 2020/03/29 2 48 1084 109 2
13 2020/03/30 4 52 1197 113 1
14 2020/03/31 2 54 1312 115 1
15 2020/04/01 2 56 1429 117 1
16 2020/04/02 3 59 1549 120 1
17 2020/04/03 5 64 1674 125 1
18 2020/04/04 0 64 1799 125 1
19 2020/04/05 0 64 1924 125 1
20 2020/04/06 2 66 2051 127 1
21 2020/04/07 2 68 2180 129 1
22 2020/04/08 5 73 2314 134 1
23 2020/04/09 2 75 2450 136 1
24 2020/04/10 7 82 2593 143 1
25 2020/04/11 0 82 2736 143 1
26 2020/04/12 0 82 2879 143 1
27 2020/04/13 2 84 3024 145 1
28 2020/04/14 5 89 3174 150 1
29 2020/04/15 2 91 3326 152 1
30 2020/04/16 6 97 3484 158 1
31 2020/04/17 4 101 3646 162 1
32 2020/04/18 7 108 3815 169 1
33 2020/04/19 4 112 3988 173 1
34 2020/04/20 5 117 4166 178 1
35 2020/04/21 13 130 4357 191 1
36 2020/04/22 4 134 4552 195 1
37 2020/04/23 10 144 4757 205 1
38 2020/04/24 4 148 4966 209 1
39 2020/04/25 3 151 5178 212 1
40 2020/04/26 1 152 5391 213 1
41 2020/04/27 3 155 5607 216 1
42 2020/04/28 7 162 5830 223 1
43 2020/04/29 6 168 6059 229 1
44 2020/04/30 2 170 6290 231 1
45 2020/05/01 3 173 6524 234 1
46 2020/05/02 3 176 6761 237 1
47 2020/05/03 6 182 7004 243 1
48 2020/05/04 3 185 7250 246 1
49 2020/05/05 3 188 7499 249 0
50 2020/05/06 1 189 7749 250 0
51 2020/05/07 3 192 8002 253 0
52 2020/05/08 11 203 8266 264 0
53 2020/05/09 3 206 8533 267 0
54 2020/05/10 4 210 8804 271 0
55 2020/05/11 3 213 9078 274 0
56 2020/05/12 2 215 9354 276 0
57 2020/05/13 3 218 9633 279 0
58 2020/05/14 2 220 9914 281 0
59 2020/05/15 3 223 10198 284 0
60 2020/05/16 1 224 10483 285 0
61 2020/05/17 1 225 10769 286 0
62 2020/05/18 2 227 11057 288 0
63 2020/05/19 3 230 11348 291 0
64 2020/05/20 0 230 11639 291 0
65 2020/05/21 7 237 11937 298 0
66 2020/05/22 0 237 12235 298 0
67 2020/05/23 0 237 12533 298 0
68 2020/05/24 3 240 12834 301 0
69 2020/05/25 2 242 13137 303 0
70 2020/05/26 2 244 13442 305 0
71 2020/05/27 2 246 13749 307 0
72 2020/05/28 5 251 14061 312 0
73 2020/05/29 3 254 14376 315 0
74 2020/05/30 4 258 14695 319 0
75 2020/05/31 5 263 15019 324 0
76 2020/06/01 10 273 15353 334 0
77 2020/06/02 4 277 15691 338 0
78 2020/06/03 5 282 16034 343 0
79 2020/06/04 5 287 16382 348 0
80 2020/06/05 8 295 16738 356 0
81 2020/06/06 7 302 17101 363 0
82 2020/06/07 6 308 17470 369 0
83 2020/06/08 10 318 17849 379 0
84 2020/06/09 6 324 18234 385 0
85 2020/06/10 14 338 18633 399 0
86 2020/06/11 19 357 19051 418 0
87 2020/06/12 14 371 19483 432 0
88 2020/06/13 15 386 19930 447 0
89 2020/06/14 11 397 20388 458 0
90 2020/06/15 15 412 20861 473 0
91 2020/06/16 13 425 21347 486 0
92 2020/06/17 24 449 21857 510 0
93 2020/06/18 16 465 22383 526 0
94 2020/06/19 19 484 22928 545 0
95 2020/06/20 15 499 23488 560 0
96 2020/06/21 13 512 24061 573 0
97 2020/06/22 25 537 24659 598 0
98 2020/06/23 31 568 25288 629 0
99 2020/06/24 30 598 25947 659 0
100 2020/06/25 30 628 26636 689 0
101 2020/06/26 32 660 27357 721 0
102 2020/06/27 15 675 28093 736 0
103 2020/06/28 24 699 28853 760 0
104 2020/06/29 39 738 29652 799 0
105 2020/06/30 34 772 30485 833 0
106 2020/07/01 36 808 31354 869 0
107 2020/07/02 26 834 32249 895 0
108 2020/07/03 45 879 33189 940 0
109 2020/07/04 36 915 34165 976 0
110 2020/07/05 39 954 35180 1015 0
111 2020/07/06 81 1035 36276 1096 0
112 2020/07/07 56 1091 37428 1152 0
113 2020/07/08 62 1153 38642 1214 0
114 2020/07/09 50 1203 39906 1264 0
115 2020/07/10 39 1242 41209 1303 0
116 2020/07/11 39 1281 42551 1342 0
117 2020/07/12 48 1329 43941 1390 0
118 2020/07/13 47 1376 45378 1437 0
119 2020/07/14 32 1408 46847 1469 0
120 2020/07/15 39 1447 48355 1508 0
121 2020/07/16 42 1489 49905 1550 0
122 2020/07/17 42 1531 51497 1592 0
123 2020/07/18 35 1566 53124 1627 0
124 2020/07/19 32 1598 54783 1659 0
125 2020/07/20 44 1642 56486 1703 0
126 2020/07/21 39 1681 58228 1742 0
127 2020/07/22 49 1730 60019 1791 0
128 2020/07/23 40 1770 61850 1831 0
129 2020/07/24 26 1796 63707 1857 0
130 2020/07/25 24 1820 65588 1881 0
131 2020/07/26 21 1841 67490 1902 0
132 2020/07/27 44 1885 69436 1946 0
133 2020/07/28 44 1929 71426 1990 0
134 2020/07/29 31 1960 73447 2021 0
135 2020/07/30 20 1980 75488 2041 0
136 2020/07/31 31 2011 77560 2072 0
137 2020/08/01 72 2083 79704 2144 0
138 2020/08/02 26 2109 81874 2170 0
139 2020/08/03 63 2172 84107 2233 0
140 2020/08/04 42 2214 86382 2275 1
141 2020/08/05 30 2244 88687 2305 0
142 2020/08/06 23 2267 91015 2328 0
143 2020/08/07 24 2291 93367 2352 0
144 2020/08/08 31 2322 95750 2383 0
145 2020/08/09 23 2345 98156 2406 0
146 2020/08/10 36 2381 100598 2442 0
147 2020/08/11 98 2479 103138 2540 0
148 2020/08/12 57 2536 105735 2597 0
149 2020/08/13 25 2561 108357 2622 0
150 2020/08/14 22 2583 111001 2644 0
151 2020/08/15 14 2597 113659 2658 0
152 2020/08/16 17 2614 116334 2675 0
153 2020/08/17 29 2643 119038 2704 0
154 2020/08/18 33 2676 121775 2737 0
155 2020/08/19 22 2698 124534 2759 0
156 2020/08/20 39 2737 127332 2798 0
157 2020/08/21 20 2757 130150 2818 0
158 2020/08/22 23 2780 132991 2841 0
159 2020/08/23 25 2805 135857 2866 0
160 2020/08/24 43 2848 138766 2909 0
161 2020/08/25 28 2876 141703 2937 0
162 2020/08/26 61 2937 144701 2998 0
163 2020/08/27 28 2965 147727 3026 0
164 2020/08/28 25 2990 150778 3051 0
165 2020/08/29 16 3006 153845 3067 0
166 2020/08/30 24 3030 156936 3091 0
167 2020/08/31 24 3054 160051 3115 0
168 2020/09/01 21 3075 163187 3136 0
169 2020/09/02 26 3101 166349 3162 0
170 2020/09/03 27 3128 169538 3189 0
171 2020/09/04 17 3145 172744 3206 0
172 2020/09/05 15 3160 175965 3221 0
173 2020/09/06 10 3170 179196 3231 0
174 2020/09/07 11 3181 182438 3242 0
175 2020/09/08 37 3218 185717 3279 0
176 2020/09/09 14 3232 189010 3293 0
177 2020/09/10 18 3250 192321 3311 0
178 2020/09/11 13 3263 195645 3324 0
179 2020/09/12 18 3281 198987 3342 0
180 2020/09/13 26 3307 202355 3368 0
181 2020/09/14 36 3343 205759 3404 0
182 2020/09/15 25 3368 209188 3429 0
183 2020/09/16 21 3389 212638 3450 0
184 2020/09/17 29 3418 216117 3479 1
185 2020/09/18 25 3443 219621 3504 0
186 2020/09/19 24 3467 223149 3528 0
187 2020/09/20 21 3488 226698 3549 0
188 2020/09/21 28 3516 230275 3577 0
189 2020/09/22 27 3543 233879 3604 0
190 2020/09/23 17 3560 237500 3621 0
191 2020/09/24 18 3578 241139 3639 0
