dates I C D F E
1 2020/03/18 0 0 1 1 2
2 2020/03/19 0 0 2 1 2
3 2020/03/20 0 0 3 1 2
4 2020/03/21 0 0 4 1 2
5 2020/03/22 0 0 5 1 2
6 2020/03/23 0 0 6 1 2
7 2020/03/24 0 0 7 1 2
8 2020/03/25 0 0 8 1 2
9 2020/03/26 0 0 9 1 2
10 2020/03/27 0 0 10 1 2
11 2020/03/28 0 0 11 1 2
12 2020/03/29 0 0 12 1 2
13 2020/03/30 0 0 13 1 2
14 2020/03/31 0 0 14 1 2
15 2020/04/01 0 0 15 1 2
16 2020/04/02 0 0 16 1 2
17 2020/04/03 0 0 17 1 2
18 2020/04/04 0 0 18 1 2
19 2020/04/05 0 0 19 1 2
20 2020/04/06 0 0 20 1 2
21 2020/04/07 0 0 21 1 2
22 2020/04/08 0 0 22 1 2
23 2020/04/09 0 0 23 1 2
24 2020/04/10 0 0 24 1 2
25 2020/04/11 0 0 25 1 2
26 2020/04/12 0 0 26 1 2
27 2020/04/13 0 0 27 1 2
28 2020/04/14 0 0 28 1 2
29 2020/04/15 0 0 29 1 2
30 2020/04/16 0 0 30 1 2
31 2020/04/17 0 0 31 1 2
32 2020/04/18 0 0 32 1 2
33 2020/04/19 0 0 33 1 2
34 2020/04/20 0 0 34 1 2
35 2020/04/21 0 0 35 1 2
36 2020/04/22 0 0 36 1 2
37 2020/04/23 0 0 37 1 2
38 2020/04/24 0 0 38 1 2
39 2020/04/25 0 0 39 1 2
40 2020/04/26 0 0 40 1 2
41 2020/04/27 0 0 41 1 2
42 2020/04/28 0 0 42 1 2
43 2020/04/29 0 0 43 1 2
44 2020/04/30 0 0 44 1 2
45 2020/05/01 0 0 45 1 2
46 2020/05/02 0 0 46 1 2
47 2020/05/03 0 0 47 1 2
48 2020/05/04 0 0 48 1 2
49 2020/05/05 0 0 49 1 0
50 2020/05/06 0 0 50 1 0
51 2020/05/07 0 0 51 1 0
52 2020/05/08 0 0 52 1 0
53 2020/05/09 0 0 53 1 0
54 2020/05/10 0 0 54 1 0
55 2020/05/11 0 0 55 1 0
56 2020/05/12 0 0 56 1 0
57 2020/05/13 0 0 57 1 0
58 2020/05/14 0 0 58 1 0
59 2020/05/15 0 0 59 1 0
60 2020/05/16 0 0 60 1 0
61 2020/05/17 0 0 61 1 0
62 2020/05/18 0 0 62 1 0
63 2020/05/19 0 0 63 1 0
64 2020/05/20 1 1 65 2 0
65 2020/05/21 0 1 67 2 0
66 2020/05/22 0 1 69 2 0
67 2020/05/23 0 1 71 2 0
68 2020/05/24 0 1 73 2 0
69 2020/05/25 0 1 75 2 0
70 2020/05/26 0 1 77 2 0
71 2020/05/27 0 1 79 2 0
72 2020/05/28 0 1 81 2 0
73 2020/05/29 0 1 83 2 0
74 2020/05/30 0 1 85 2 0
75 2020/05/31 0 1 87 2 0
76 2020/06/01 0 1 89 2 0
77 2020/06/02 0 1 91 2 0
78 2020/06/03 0 1 93 2 0
79 2020/06/04 0 1 95 2 0
80 2020/06/05 0 1 97 2 0
81 2020/06/06 0 1 99 2 0
82 2020/06/07 0 1 101 2 0
83 2020/06/08 0 1 103 2 0
84 2020/06/09 0 1 105 2 0
85 2020/06/10 0 1 107 2 0
86 2020/06/11 0 1 109 2 0
87 2020/06/12 0 1 111 2 0
88 2020/06/13 0 1 113 2 0
89 2020/06/14 0 1 115 2 0
90 2020/06/15 0 1 117 2 0
91 2020/06/16 0 1 119 2 0
92 2020/06/17 0 1 121 2 0
93 2020/06/18 0 1 123 2 0
94 2020/06/19 0 1 125 2 0
95 2020/06/20 0 1 127 2 0
96 2020/06/21 0 1 129 2 0
97 2020/06/22 0 1 131 2 0
98 2020/06/23 0 1 133 2 0
99 2020/06/24 0 1 135 2 0
100 2020/06/25 0 1 137 2 0
101 2020/06/26 0 1 139 2 0
102 2020/06/27 0 1 141 2 0
103 2020/06/28 0 1 143 2 0
104 2020/06/29 0 1 145 2 0
105 2020/06/30 0 1 147 2 0
106 2020/07/01 0 1 149 2 0
107 2020/07/02 0 1 151 2 0
108 2020/07/03 0 1 153 2 0
109 2020/07/04 0 1 155 2 0
110 2020/07/05 0 1 157 2 0
111 2020/07/06 0 1 159 2 0
112 2020/07/07 0 1 161 2 0
113 2020/07/08 0 1 163 2 0
114 2020/07/09 0 1 165 2 0
115 2020/07/10 0 1 167 2 0
116 2020/07/11 0 1 169 2 0
117 2020/07/12 0 1 171 2 0
118 2020/07/13 0 1 173 2 0
119 2020/07/14 0 1 175 2 0
120 2020/07/15 0 1 177 2 0
121 2020/07/16 0 1 179 2 0
122 2020/07/17 0 1 181 2 0
123 2020/07/18 0 1 183 2 0
124 2020/07/19 0 1 185 2 0
125 2020/07/20 0 1 187 2 0
126 2020/07/21 0 1 189 2 0
127 2020/07/22 0 1 191 2 0
128 2020/07/23 1 2 194 3 0
129 2020/07/24 0 2 197 3 0
130 2020/07/25 0 2 200 3 0
131 2020/07/26 0 2 203 3 0
132 2020/07/27 0 2 206 3 0
133 2020/07/28 0 2 209 3 0
134 2020/07/29 0 2 212 3 0
135 2020/07/30 1 3 216 4 0
136 2020/07/31 0 3 220 4 0
137 2020/08/01 0 3 224 4 0
138 2020/08/02 1 4 229 5 0
139 2020/08/03 1 5 235 6 0
140 2020/08/04 0 5 241 6 0
141 2020/08/05 0 5 247 6 0
142 2020/08/06 0 5 253 6 0
143 2020/08/07 0 5 259 6 0
144 2020/08/08 0 5 265 6 0
145 2020/08/09 0 5 271 6 0
146 2020/08/10 0 5 277 6 0
147 2020/08/11 0 5 283 6 0
148 2020/08/12 0 5 289 6 0
149 2020/08/13 1 6 296 7 0
150 2020/08/14 0 6 303 7 0
151 2020/08/15 0 6 310 7 0
152 2020/08/16 0 6 317 7 0
153 2020/08/17 0 6 324 7 0
154 2020/08/18 0 6 331 7 0
155 2020/08/19 0 6 338 7 0
156 2020/08/20 0 6 345 7 0
157 2020/08/21 0 6 352 7 0
158 2020/08/22 0 6 359 7 0
159 2020/08/23 0 6 366 7 0
160 2020/08/24 0 6 373 7 0
161 2020/08/25 0 6 380 7 0
